candidate_id,trait_name,accepted_species,normalized_value,source_url,source_excerpt,accepted_correct,cultivar_status,reviewer,reviewed_at_utc,audit_reason,audit_hash
efloras-medium:ee2cebb80156328568872294,floral_form,Abelia chinensis,funnel_trumpet,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200022258,"Corolla 5-lobed, white to pink, funnelform, 10-12 mm, ca. 2 × as long as sepals, outside pubescent and gibbous at base of tube",true,wild_species_description,OpenAI Codex evidence audit,2026-08-10T16:34:00.086436Z,accepted: exact species treatment quote supports normalized trait value; no cultivar context,513036d4ce373aa22c5132745ae79ab8fbdb8daf873cb4f86b380e2fb499a3ae
efloras-medium:89fe5bca8b0c99ace77c2200,floral_form,Heteranthera dubia,salverform,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=242101659,"perianth yellow, salverform, tube 1.5–11 cm, limb lobes equal, of uniform color, linear, 4–11 mm;",true,wild_species_description,OpenAI Codex evidence audit,2026-08-10T16:34:00.086436Z,accepted: exact species treatment quote supports normalized trait value; no cultivar context,6432687245426296be5f656906ffa2611acb23a65fa8d6d99f1e7526b63401a3
efloras-medium:0077489e9fb8ec0d97ac6089,floral_form,Ipomoea pandurata,funnel_trumpet,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=242416697,"corolla white, throat lavender or purple-red inside, funnelform, 50–80 mm. 2 n = 30. Flowering Jun–Sep",true,wild_species_description,OpenAI Codex evidence audit,2026-08-10T16:34:00.086436Z,accepted: exact species treatment quote supports normalized trait value; no cultivar context,6f2bb91d7ddf1c6ee89b9ab46737ebf064981429f93041b23c01b581a3f564eb
efloras-medium:2affeab575246c2b90ed0c4f,floral_form,Parkia timoriana,tubular,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200012269,"Corolla tubular, 10-11 mm, 5-lobed;",true,wild_species_description,OpenAI Codex evidence audit,2026-08-10T16:34:00.086436Z,accepted: exact species treatment quote supports normalized trait value; no cultivar context,719c94394f989de59608e7fcebf1462565a331a4522272a692b671ec442ffd0a
efloras-medium:b1fc209c0380fbb7cacea477,floral_form,Enkianthus perulatus,urn_urceolate,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=242443991,"Corolla white, urceolate, 8–9 mm;",true,wild_species_description,OpenAI Codex evidence audit,2026-08-10T16:34:00.086436Z,accepted: exact species treatment quote supports normalized trait value; no cultivar context,8abd8b6a9acdf640430a7310c75b0ccc39d69b99703a2975c25367cbe678eabe
efloras-medium:1a709d4b315a8eff871493b9,floral_form,Veronica arvensis,open_radial,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200021305,"lobes linear-lanceolate, lower 2 lobes longer than upper 2. Corolla blue to blue-purple, rotate, ca. 2 mm, shorter than calyx;",true,wild_species_description,OpenAI Codex evidence audit,2026-08-10T16:34:00.086436Z,accepted: exact species treatment quote supports normalized trait value; no cultivar context,9e9cbb4d4a5282b8b11105a982213fb71eb2784b0a584efcbd3d3c16e37840ff
efloras-medium:b25617371de8ac508c8f8b3d,floral_form,Cuscuta epilinum,urn_urceolate,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=250013638,"corolla white, drying creamy yellow, initially globose, later urceolate, 2.8–3.7 mm, tube 2.5–3 mm, not saccate, lobes erect to spreading, ovate-triangular, 1 / 4 – 1 / 3 (– 1 / 2 ) corolla tube length, margins entire, apex subobtuse to acute, straight to incurved;",true,wild_species_description,OpenAI Codex evidence audit,2026-08-10T16:34:00.086436Z,accepted: exact species treatment quote supports normalized trait value; no cultivar context,a1a69a1175bdfc694e7ed89238a546992d62caf7274acb7750a686bb95a0bfcf
efloras-medium:04df284629dd3ed792905b1e,floral_form,Vaccinium cespitosum,urn_urceolate,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=250065710,"corolla white, white with pink striping, or pink, cylindric-urceolate to globose, 4-7 × 3-5 mm, thin, glaucous;",true,wild_species_description,OpenAI Codex evidence audit,2026-08-10T16:34:00.086436Z,accepted: exact species treatment quote supports normalized trait value; no cultivar context,acce0a20787788223945fce3d95e886230f1a81ff084f172cd30055786d0a054
efloras-medium:a36458f7dac8be9bb981ea21,floral_form,Agave americana,funnel_trumpet,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=200028030,"perianth yellow, tube funnelform to cylindric, 8–20 × 12–20 mm, limb lobes erect, subequal, 20–35 mm;",true,wild_species_description,OpenAI Codex evidence audit,2026-08-10T16:34:00.086436Z,accepted: exact species treatment quote supports normalized trait value; no cultivar context,b629fb9fd73c6922640c425c177eaaeb4c215d0fc3c2bfc5b86287998f1abbc6
efloras-medium:2f9e92d6158affa043535a35,floral_form,Datura metel,funnel_trumpet,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=200020519,"corolla white, yellow, or purple, broadly funnelform, with single, double, or triple whorls, finely puberulent along veins, 11–22 cm, acuminate lobes alternating with smaller lobules (or emarginate)",true,wild_species_description,OpenAI Codex evidence audit,2026-08-10T16:34:00.086436Z,accepted: exact species treatment quote supports normalized trait value; no cultivar context,b70dbd1fa7cf8fe2c5d58513777a67c465e9addc32565e2472cd735f0a07da24
efloras-medium:aedd3fb853fd75ba897d2c74,floral_form,Paederia lanuginosa,funnel_trumpet,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=250096566,"Corolla pale green, dull white, pink, reddish purple, or dark purple, funnelform, outside densely tomentulose;",true,wild_species_description,OpenAI Codex evidence audit,2026-08-10T16:34:00.086436Z,accepted: exact species treatment quote supports normalized trait value; no cultivar context,be528a213ed5d1936ccea49adf634febd137c3871c0ffa3ae54ef254d4651234
efloras-medium:7a600b58f2bab4ee230e9236,floral_form,Araujia sericifera,funnel_trumpet,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=250004415,"corolla white or light pink, funnelform, tube 12.1–15.9 × 5.5–9.8 mm, abaxial surface eglandular-pubescent, adaxial surface glabrous except eglandular-pubescent at base, lobes 6.4–9.6 × 4.5–5.4 mm, abaxial surface eglandular-pubescent, adaxial surface glabrous;",true,wild_species_description,OpenAI Codex evidence audit,2026-08-10T16:34:00.086436Z,accepted: exact species treatment quote supports normalized trait value; no cultivar context,c84af52034863315b38d27eb8cc8a0f44be866f958cdc614e0aa133f27730a95
efloras-medium:19236c8e700d7696b53ed28f,floral_form,Datura metel,funnel_trumpet,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200020519,"Corolla white, yellowish, or pale purple, funnelform, sometimes doubled or tripled, 14-20 cm;",true,wild_species_description,OpenAI Codex evidence audit,2026-08-10T16:34:00.086436Z,accepted: exact species treatment quote supports normalized trait value; no cultivar context,df9b7d68a627725d455004cba876142a79b7329b06db0052291a3ee251d9f667
efloras-medium:948daa6845779cfefa56ff0e,floral_form,Cuscuta campestris,bell_campanulate,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200018811,"Corolla white, short campanulate, ca. 2.5 mm, 4- or 5-lobed;",true,wild_species_description,OpenAI Codex evidence audit,2026-08-10T16:34:00.086436Z,accepted: exact species treatment quote supports normalized trait value; no cultivar context,e157dcd4f2061c94c481379d6ded1f3b10f6a4c4e7064257529aa921b9daadd9
efloras-medium:6b4b0416f40bf02bbe1c3c1c,floral_form,Evolvulus alsinoides,open_radial,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=200018836,"corolla pale blue or white, rotate, limb (5–)7–10 mm diam. 2 n = 26 (Asia)",true,wild_species_description,OpenAI Codex evidence audit,2026-08-10T16:34:00.086436Z,accepted: exact species treatment quote supports normalized trait value; no cultivar context,e4252371589fc8257caefc772d38bedc8f883d095b6f2930eadbbf961deb3992
efloras-medium:103037ca0e601b3529ff40ba,floral_form,Ipomoea eriocarpa,bell_campanulate,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200018847,"Corolla pink or purplish, rarely white, campanulate, 7-9 mm, midpetaline bands densely hirsute outside;",true,wild_species_description,OpenAI Codex evidence audit,2026-08-10T16:34:00.086436Z,accepted: exact species treatment quote supports normalized trait value; no cultivar context,e861c2b678fa37a99c1065c3862caddf4244d9d264a8341afdd9fa5802a5ab89
efloras-medium:305b18f11a3d42ecebeb4ec7,floral_form,Allium schoenoprasum,bell_campanulate,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=200027528,"Flowers campanulate, 8–12 mm;",true,wild_species_description,OpenAI Codex evidence audit,2026-08-10T16:34:00.086436Z,accepted: exact species treatment quote supports normalized trait value; no cultivar context,ebaf20857748550a7ae50b5554d958da2131a4fa141770e7a2e04c08ba2908dd
efloras-medium:b7d15409ce51b1e28968c24d,floral_form,Solanum torvum,open_radial,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200020607,"Corolla white, rotate, 1-1.3 × 1-1.5 cm;",true,wild_species_description,OpenAI Codex evidence audit,2026-08-10T16:34:00.086436Z,accepted: exact species treatment quote supports normalized trait value; no cultivar context,eddb1a1f5392ab70b3cc4258258b6d15792fcd7171d38ab10f6e1ba3d1d08b39
efloras-medium:58f94b203ca35f5bbf708922,floral_form,Aspidistra elatior,bell_campanulate,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200027584,"Perianth purplish to dark-purple, rarely pinkish, campanulate, (6--)8-lobed apically;",true,wild_species_description,OpenAI Codex evidence audit,2026-08-10T16:34:00.086436Z,accepted: exact species treatment quote supports normalized trait value; no cultivar context,ee0659ca78d64e4ebf54acd3b96e871ec9ee4ccbf337c9d46d6d84773b4112fd
efloras-medium:a4ef0aff6b66f161819d0a56,floral_form,Lycium torreyi,tubular,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=250131456,"corolla white to greenish lavender, narrowly tubular, 5–15 mm, lobes spreading, 1–4 mm, margins densely ciliate-lanate;",true,wild_species_description,OpenAI Codex evidence audit,2026-08-10T16:34:00.086436Z,accepted: exact species treatment quote supports normalized trait value; no cultivar context,ee9ae6c69e119529cda4474d9b07ca8876509db001e5979b059cd6f9052f7993
efloras-medium:f2c516ebba76287cd323148e,floral_form,Allium oleraceum,bell_campanulate,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=242101382,"Flowers usually aborting before capsules mature, if present, campanulate, 6–8 mm;",true,wild_species_description,OpenAI Codex evidence audit,2026-08-10T16:34:00.086436Z,accepted: exact species treatment quote supports normalized trait value; no cultivar context,fd36af22cb6ca957597c4663c4c4a878416a034fbb60396f0624059ae3dfaf25
efloras-medium:7dc6057cc17330d9899bab6c,flower_size_class,Luffa aegyptiaca,large,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=242424005,"corolla yellow, rotate, 5-9 cm in diam.;",true,wild_species_description,OpenAI Codex evidence audit,2026-08-10T16:34:00.086436Z,accepted: exact species treatment quote supports normalized trait value; no cultivar context,006a201077bd2ecf9ad63dc36266d9056e13b4b2795a9be642441ea56028ca13
efloras-medium:9a9f187ca3e7fa144d3823fa,flower_size_class,Malus baccata,large,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=200010898,"Flowers ˂not fragrant˃, 30–35 mm diam.;",true,wild_species_description,OpenAI Codex evidence audit,2026-08-10T16:34:00.086436Z,accepted: exact species treatment quote supports normalized trait value; no cultivar context,0072e06d3c010ddb08293cab8b68d1b06e03f7fa76156d2da3aecf3152aff1af
efloras-medium:b00a041cf9417cbf511ebf1e,flower_size_class,Clematis smilacifolia,large,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=242000407,Flowers 3--3.6 cm in diam,true,wild_species_description,OpenAI Codex evidence audit,2026-08-10T16:34:00.086436Z,accepted: exact species treatment quote supports normalized trait value; no cultivar context,007c915b7463e0d853ac0aa5ce5e58c7e70c8d7bf55ea84f99d290781502accf
efloras-medium:5c8c221c27296d0a6eae51b7,flower_size_class,Eubotrys racemosa,small,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=250065697,"corolla white, 7-9 mm, lobes recurved, glabrous;",true,wild_species_description,OpenAI Codex evidence audit,2026-08-10T16:34:00.086436Z,accepted: exact species treatment quote supports normalized trait value; no cultivar context,0097bb03dec1877ee3b5fada3eb68a51b7dcb09c6507f6dbf9d63aa44ee7bf50
efloras-medium:35610c1de72423df8bf02902,flower_size_class,Spiraea tomentosa,small,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=242417312,Flowers 4–6 mm diam.;,true,wild_species_description,OpenAI Codex evidence audit,2026-08-10T16:34:00.086436Z,accepted: exact species treatment quote supports normalized trait value; no cultivar context,00a15f262ef3f80b54bb1d024f559ed0c490cb861d98fde4edc9928d544509d0
efloras-medium:644cea15fab9dcc7c53879e8,flower_size_class,Claytonia exigua,small,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=242415730,Flowers 3-5 mm diam.;,true,wild_species_description,OpenAI Codex evidence audit,2026-08-10T16:34:00.086436Z,accepted: exact species treatment quote supports normalized trait value; no cultivar context,00b5f858cd56ce21d868fb4df532a793c03f0c8b7e90161a93e8dcdd548de40f
efloras-medium:da7293e0039e981691ad21f5,flower_size_class,Millettia pulchra,medium,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=242332716,Flowers 0.9-1.2 cm,true,wild_species_description,OpenAI Codex evidence audit,2026-08-10T16:34:00.086436Z,accepted: exact species treatment quote supports normalized trait value; no cultivar context,00c0164cbdb30cb4036aa395071b2d1aa031d42e70240b185de8d066f8d038bb
efloras-medium:7894b0d3d5e621d2133e5491,flower_size_class,Bidens laevis,small,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=242416177,"corollas yellow to orange-yellow, 3–6.5 mm",true,wild_species_description,OpenAI Codex evidence audit,2026-08-10T16:34:00.086436Z,accepted: exact species treatment quote supports normalized trait value; no cultivar context,00d336538ea7869f1ccd1543d146e382e13a8a4d64919432d6f7f04f698b8cf2
efloras-medium:49e80c567a2eeec609f88183,flower_size_class,Chukrasia tabularis,medium,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200012500,"Flowers 1.2-1.5 cm, fragrant",true,wild_species_description,OpenAI Codex evidence audit,2026-08-10T16:34:00.086436Z,accepted: exact species treatment quote supports normalized trait value; no cultivar context,00e83a9c8efe423d972843293c9e620355f6a0d273d2efac87296a92c4bf6c4a
efloras-medium:34c9b4d9cf3ac016593a4b10,flower_size_class,Rosa pisocarpa,large,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=250100423,Flowers 2.4–3.8 cm diam.;,true,wild_species_description,OpenAI Codex evidence audit,2026-08-10T16:34:00.086436Z,accepted: exact species treatment quote supports normalized trait value; no cultivar context,00ecfb4d39c93bdd2d3c72cd48837f780c2a6785fe3e0db002a8a1da87289115
efloras-medium:c4dc72db8f36261c7f5f176a,flower_size_class,Cuscuta tuberculata,small,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=250131329,"Flowers 5-merous, 2.5–4 mm, membranous, papil­late, espe­cially at base of corolla tube;",true,wild_species_description,OpenAI Codex evidence audit,2026-08-10T16:34:00.086436Z,accepted: exact species treatment quote supports normalized trait value; no cultivar context,00fecc112cee820d69a7be7c76409d84e76dd6ec463ac4622f6320415a71ee53
efloras-medium:3ada1ee7d33fc0e372a838c5,flower_size_class,Solanum donianum,medium,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=250131501,"corolla white, stellate, 1.5–2 cm diam., with­out interpetalar tissue;",true,wild_species_description,OpenAI Codex evidence audit,2026-08-10T16:34:00.086436Z,accepted: exact species treatment quote supports normalized trait value; no cultivar context,01799307b701f147565cd936a845c879c666106c08c06064206d16c01a432652
efloras-medium:4356e2fdb6d64dedc0241da1,flower_size_class,Cathayanthe biflora,large,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200021594,"Corolla 2.5-5 cm, outside sparsely pilose;",true,wild_species_description,OpenAI Codex evidence audit,2026-08-10T16:34:00.086436Z,accepted: exact species treatment quote supports normalized trait value; no cultivar context,01b6ef0e1c5dc28894a5f2bc1f1bdc96c7c45b803586e435c6644809bac0e4a9
efloras-medium:2f77a533e8e6d68cade23887,flower_size_class,Acanthephippium striatum,large,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=242412028,"Flowers creamy white with parallel red venation, tubular, 35-45 mm;",true,wild_species_description,OpenAI Codex evidence audit,2026-08-10T16:34:00.086436Z,accepted: exact species treatment quote supports normalized trait value; no cultivar context,01d681817470d01b7fd664bdd56180a9534a84790935b511c1c9a1aac3f7f40c
efloras-medium:e2b71a7eadee904f3c950f66,flower_size_class,Lepidagathis hainanensis,small,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=242328863,"Corolla white, 9-10 mm, outside pubescent;",true,wild_species_description,OpenAI Codex evidence audit,2026-08-10T16:34:00.086436Z,accepted: exact species treatment quote supports normalized trait value; no cultivar context,01d68865246edced67d370b08d6b3f8035553fe2e688d5ffb6b33502cb2cdd80
efloras-medium:e7dd7df5ff86569856fb2d99,flower_size_class,Rayjacksonia phyllocephala,medium,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=250067438,corollas 8.5–19 mm,true,wild_species_description,OpenAI Codex evidence audit,2026-08-10T16:34:00.086436Z,accepted: exact species treatment quote supports normalized trait value; no cultivar context,01e41a58dd842055276f536e37a0f985c6118f680729e0e8b88a31336e45b220
efloras-medium:bca37493ce2884a8b6b94945,flower_size_class,Erigeron pumilus,medium,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=250066661,"corollas white to pink, less commonly bluish, 6–15 mm, laminae reflexing",true,wild_species_description,OpenAI Codex evidence audit,2026-08-10T16:34:00.086436Z,accepted: exact species treatment quote supports normalized trait value; no cultivar context,01efe914cdc15e7189ce0af99d71268ffec0580aa6593ae8c3c9a29989fbee08
efloras-medium:e2d4102c6450ba280eb5df33,flower_size_class,Gentiana rubicunda,large,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200018067,"Corolla purple, 1.5-6 cm;",true,wild_species_description,OpenAI Codex evidence audit,2026-08-10T16:34:00.086436Z,accepted: exact species treatment quote supports normalized trait value; no cultivar context,021362bd03211944054a253966725dc49e7391bddf3870242899c8ec455c9389
efloras-medium:1acc571107d98f0473587762,flower_size_class,Ilex kwangtungensis,small,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200012764,"corolla rotate, 7-8 mm in diam., petals oblong, ca. 1.5 mm;",true,wild_species_description,OpenAI Codex evidence audit,2026-08-10T16:34:00.086436Z,accepted: exact species treatment quote supports normalized trait value; no cultivar context,02283e247cd909d82d6c02a3ed718786ea35bd834bd7b36f3e75ea463a189e33
efloras-medium:46850b77cd52b70d1de7a5df,flower_size_class,Stellaria nitens,small,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=250060937,Flowers 2-3 mm diam.;,true,wild_species_description,OpenAI Codex evidence audit,2026-08-10T16:34:00.086436Z,accepted: exact species treatment quote supports normalized trait value; no cultivar context,023231491b9e63b4516db22593aaa7e8e4a9af7d1d0e3b668376600ee810a4b2
efloras-medium:3c2f2e92b80609a297a2f098,flower_size_class,Opuntia cochenillifera,medium,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=250011310,"Flowers 1.2-1.5 cm in diam., erect",true,wild_species_description,OpenAI Codex evidence audit,2026-08-10T16:34:00.086436Z,accepted: exact species treatment quote supports normalized trait value; no cultivar context,025e7cf60ab76384846b9d05b10d890c8bc20ed5bb870a7d02058146b5b51737
efloras-medium:7f8a3f12fbc17e34008d15b5,flower_size_class,Andromeda polifolia,small,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=220000691,"petals short-spreading or recurved, hairy adaxially, minutely papillate on margins, corolla 5-8 × 3.5-7 mm, without stomata;",true,wild_species_description,OpenAI Codex evidence audit,2026-08-10T16:34:00.086436Z,accepted: exact species treatment quote supports normalized trait value; no cultivar context,02624ca3b955c8a5edf49a675f091f642b4bfe5145b3296dd8bbc3a98786ef6a
efloras-medium:e5406855528c7d750c18e66a,flower_size_class,Livistona chinensis,small,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200027087,"flowers hermaphroditic, borne in clusters of 4-7, white or yellow, 2-2.5 mm",true,wild_species_description,OpenAI Codex evidence audit,2026-08-10T16:34:00.086436Z,accepted: exact species treatment quote supports normalized trait value; no cultivar context,02686c507040583da0d35316d5d31c382d9e2cacdaeab9de6ece09d1806df224
efloras-medium:422df7c0c5e0128bac61c308,flower_size_class,Erigeron lonchophyllus,small,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=200023906,"corollas white to light pink, 2–3 mm, laminae (filiform) erect, not coiling or reflexing (not surpassing involucres)",true,wild_species_description,OpenAI Codex evidence audit,2026-08-10T16:34:00.086436Z,accepted: exact species treatment quote supports normalized trait value; no cultivar context,026a9c67bb8b822dd4e2b41b8acd77daca287b174fd8d2130f762929e518743b
efloras-medium:89b063008e9646ab9178bde9,flower_size_class,Cotoneaster qungbixiensis,small,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=250084628,"Flowers 6.5–9 mm, open;",true,wild_species_description,OpenAI Codex evidence audit,2026-08-10T16:34:00.086436Z,accepted: exact species treatment quote supports normalized trait value; no cultivar context,028b629a1d00be46aba2172cfa7830907ff9be167b27e4195100b196421435b0
efloras-medium:18ec52ab13b14675d1444fd0,flower_size_class,Lysimachia candida,medium,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200016983,"Corolla white, narrowly campanulate, 6--12 mm, parted to middle;",true,wild_species_description,OpenAI Codex evidence audit,2026-08-10T16:34:00.086436Z,accepted: exact species treatment quote supports normalized trait value; no cultivar context,029682b9debee0a280acfacdc4ca50e179df5f85cff9bfb447430924830e3ccc
efloras-medium:b60b5c3ed2191fac9417e39e,flower_size_class,Ilex elmerrilliana,small,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200012758,"corolla rotate, 6-7 mm in diam., petals oblong, ca. 3.5 × 2.5 mm, not ciliate, basally slightly connate;",true,wild_species_description,OpenAI Codex evidence audit,2026-08-10T16:34:00.086436Z,accepted: exact species treatment quote supports normalized trait value; no cultivar context,02a4a28e05eee5ebd2b3825fd735a8d1a4f46000692673e68b89bafca0d7c996
efloras-medium:a17b24fc29c89461588e191e,flower_size_class,Allium tricoccum,small,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=242101410,"Flowers campanulate, 4–7 mm;",true,wild_species_description,OpenAI Codex evidence audit,2026-08-10T16:34:00.086436Z,accepted: exact species treatment quote supports normalized trait value; no cultivar context,02d040e806e84f490fbfb56df6aa2d32e0f5c87385b6c5944903e317447d7e4b
