candidate_id,accepted_species,trait_name,normalized_value,source_url,page_title,exact_supporting_quote,content_fingerprint,accepted_correct,cultivar_status,reviewer,reviewed_at_utc,audit_reason,supporting_quote,source_lineage
gobotany-completion:448e7c50873c4d85d15f0473,Pinguicula vulgaris,cleistogamy,absent,https://gobotany.nativeplanttrust.org/species/pinguicula/vulgaris/,Pinguicula vulgaris (violet butterwort): Go Botany,Cleistogamous flowers: there are no cleistogamous flowers on the plan,f9a5d0585465821178885d407bdb8c88ac0d82d48e7b8ceb9a33c212ca15aae5,True,wild_or_unspecified_species_record,Codex evidence audit,2026-08-11T02:29:33.8112372Z,"Exact sitemap species page; h1 and family match the 106,295-species master; the quoted named characteristic maps directly to the same trait; no snippet, cultivar-only statement, cross-trait proxy or inference.",,
gobotany-completion:9d63f0ca56bdc212f6ce3df2,Amphicarpaea bracteata,cleistogamy,absent|facultative,https://gobotany.nativeplanttrust.org/species/amphicarpaea/bracteata/,Amphicarpaea bracteata (American hog-peanut): Go Botany,Cleistogamous flowers: the plant has some cleistogamous flower; there are no cleistogamous flowers on the plan,a31ee2abfd8e3272657b10bbc4df4d55a41b0c7fcb3e4eb7c939ba061da2187f,True,wild_or_unspecified_species_record,Codex evidence audit,2026-08-11T02:29:33.8112372Z,"Exact sitemap species page; h1 and family match the 106,295-species master; the quoted named characteristic maps directly to the same trait; no snippet, cultivar-only statement, cross-trait proxy or inference.",,
gobotany-completion:e997a32713d35b57c3b4cca1,Ipomoea lacunosa,cleistogamy,absent,https://gobotany.nativeplanttrust.org/species/ipomoea/lacunosa/,Ipomoea lacunosa (white morning-glory): Go Botany,Cleistogamous flowers: there are no cleistogamous flowers on the plan,9239477f7e442a8e7da1f642065f5d1392f46f53d831a4b01a3c5fff9b3145c1,True,wild_or_unspecified_species_record,Codex evidence audit,2026-08-11T02:29:33.8112372Z,"Exact sitemap species page; h1 and family match the 106,295-species master; the quoted named characteristic maps directly to the same trait; no snippet, cultivar-only statement, cross-trait proxy or inference.",,
gobotany-completion:a72183be07c74b295b8fbdce,Oenothera curtiflora,cleistogamy,absent,https://gobotany.nativeplanttrust.org/species/oenothera/curtiflora/,Oenothera curtiflora (small-flowered bee-blossom): Go Botany,Cleistogamous flowers: there are no cleistogamous flowers on the plan,79651cad71684022ecb4c4f5f331a0b61561d9b2f5c2a45b9bc5ad22e741309e,True,wild_or_unspecified_species_record,Codex evidence audit,2026-08-11T02:29:33.8112372Z,"Exact sitemap species page; h1 and family match the 106,295-species master; the quoted named characteristic maps directly to the same trait; no snippet, cultivar-only statement, cross-trait proxy or inference.",,
gobotany-completion:252044b4610601b9ab20d60e,Ipomoea hederacea,cleistogamy,absent,https://gobotany.nativeplanttrust.org/species/ipomoea/hederacea/,Ipomoea hederacea (ivy-leaved morning-glory): Go Botany,Cleistogamous flowers: there are no cleistogamous flowers on the plan,55828147703d338444ba082a85afcbd066bee0f9dccdbe819830b7362ede8b45,True,wild_or_unspecified_species_record,Codex evidence audit,2026-08-11T02:29:33.8112372Z,"Exact sitemap species page; h1 and family match the 106,295-species master; the quoted named characteristic maps directly to the same trait; no snippet, cultivar-only statement, cross-trait proxy or inference.",,
gobotany-completion:0bea8b80099b2467d690d70d,Oenothera filiformis,cleistogamy,absent,https://gobotany.nativeplanttrust.org/species/oenothera/filiformis/,Oenothera filiformis (bee-blossom): Go Botany,Cleistogamous flowers: there are no cleistogamous flowers on the plan,f1320d2262f5d719a39802229be4ee7f0ebc7806d60d996a571109881656222d,True,wild_or_unspecified_species_record,Codex evidence audit,2026-08-11T02:29:33.8112372Z,"Exact sitemap species page; h1 and family match the 106,295-species master; the quoted named characteristic maps directly to the same trait; no snippet, cultivar-only statement, cross-trait proxy or inference.",,
gobotany-completion:d5217577d217571e9699b00f,Leonurus cardiaca,cleistogamy,absent,https://gobotany.nativeplanttrust.org/species/leonurus/cardiaca/,Leonurus cardiaca (motherwort): Go Botany,Cleistogamous flowers: there are no cleistogamous flowers on the plan,2be6f6fd0a0ab7023e5a319e03246eec4e76a2311379637b070f0db6172b844b,True,wild_or_unspecified_species_record,Codex evidence audit,2026-08-11T02:29:33.8112372Z,"Exact sitemap species page; h1 and family match the 106,295-species master; the quoted named characteristic maps directly to the same trait; no snippet, cultivar-only statement, cross-trait proxy or inference.",,
gobotany-completion:a4d08d2a8a34418bcdfabe8b,Brassica rapa,cleistogamy,absent,https://gobotany.nativeplanttrust.org/species/brassica/rapa/,Brassica rapa (rape): Go Botany,Cleistogamous flowers: there are no cleistogamous flowers on the plan,bb7f60fe1974c0cd1eb917a6938a460c678f03cfd8a66a178e44d27cd5114d6c,True,wild_or_unspecified_species_record,Codex evidence audit,2026-08-11T02:29:33.8112372Z,"Exact sitemap species page; h1 and family match the 106,295-species master; the quoted named characteristic maps directly to the same trait; no snippet, cultivar-only statement, cross-trait proxy or inference.",,
gobotany-completion:7e60cc15284946c8498012a4,Abelmoschus esculentus,cleistogamy,absent,https://gobotany.nativeplanttrust.org/species/abelmoschus/esculentus/,Abelmoschus esculentus (okra): Go Botany,Cleistogamous flowers: there are no cleistogamous flowers on the plan,2e62a718aff0856560db53ee87d3ef75466b5697cfc01eea1d47f0e571a49c07,True,wild_or_unspecified_species_record,Codex evidence audit,2026-08-11T02:29:33.8112372Z,"Exact sitemap species page; h1 and family match the 106,295-species master; the quoted named characteristic maps directly to the same trait; no snippet, cultivar-only statement, cross-trait proxy or inference.",,
gobotany-completion:386e3eba464a3b24a599719b,Digitalis lutea,cleistogamy,absent,https://gobotany.nativeplanttrust.org/species/digitalis/lutea/,Digitalis lutea (straw foxglove): Go Botany,Cleistogamous flowers: there are no cleistogamous flowers on the plan,341b0949fb97b859eb4b1f89502a8c40d78acc3a6cce5a35b7a8d8b07970b26a,True,wild_or_unspecified_species_record,Codex evidence audit,2026-08-11T02:29:33.8112372Z,"Exact sitemap species page; h1 and family match the 106,295-species master; the quoted named characteristic maps directly to the same trait; no snippet, cultivar-only statement, cross-trait proxy or inference.",,
gobotany-completion:eff4a3f129738a1de65513f0,Malva verticillata,cleistogamy,absent,https://gobotany.nativeplanttrust.org/species/malva/verticillata/,Malva verticillata (whorled mallow): Go Botany,Cleistogamous flowers: there are no cleistogamous flowers on the plan,02e1daa9fc7b3ccbf51c1c3a47e430994b418f72666d56d0b7eecdebfa932306,True,wild_or_unspecified_species_record,Codex evidence audit,2026-08-11T02:29:33.8112372Z,"Exact sitemap species page; h1 and family match the 106,295-species master; the quoted named characteristic maps directly to the same trait; no snippet, cultivar-only statement, cross-trait proxy or inference.",,
gobotany-completion:66cf6ccc4e9f8e6d5b56af2c,Parietaria judaica,cleistogamy,absent,https://gobotany.nativeplanttrust.org/species/parietaria/judaica/,Parietaria judaica (spreading pellitory): Go Botany,Cleistogamous flowers: there are no cleistogamous flowers on the plan,f14f78beba7d3ba096da15d529bc5354fb46f40ab7956cfdf24a5e48c860de07,True,wild_or_unspecified_species_record,Codex evidence audit,2026-08-11T02:29:33.8112372Z,"Exact sitemap species page; h1 and family match the 106,295-species master; the quoted named characteristic maps directly to the same trait; no snippet, cultivar-only statement, cross-trait proxy or inference.",,
gobotany-completion:63dfa9094b0c390ed1ccb6f5,Oenothera gaura,cleistogamy,absent,https://gobotany.nativeplanttrust.org/species/oenothera/gaura/,Oenothera gaura (biennial bee-blossom): Go Botany,Cleistogamous flowers: there are no cleistogamous flowers on the plan,1f4a29369e83bf32fa08155e65f001db770d2acbab6f23dc1f3e36611162a15f,True,wild_or_unspecified_species_record,Codex evidence audit,2026-08-11T02:29:33.8112372Z,"Exact sitemap species page; h1 and family match the 106,295-species master; the quoted named characteristic maps directly to the same trait; no snippet, cultivar-only statement, cross-trait proxy or inference.",,
gobotany-completion:958bf2dfba762c481b53d951,Amaranthus spinosus,cleistogamy,absent,https://gobotany.nativeplanttrust.org/species/amaranthus/spinosus/,Amaranthus spinosus (spiny amaranth): Go Botany,Cleistogamous flowers: there are no cleistogamous flowers on the plan,0c82fa202f7742ee0f07124426c2ff1508d37b209e8ce333692df80891aad424,True,wild_or_unspecified_species_record,Codex evidence audit,2026-08-11T02:29:33.8112372Z,"Exact sitemap species page; h1 and family match the 106,295-species master; the quoted named characteristic maps directly to the same trait; no snippet, cultivar-only statement, cross-trait proxy or inference.",,
gobotany-completion:69c9ee3f2bd8f1ea344cb2e9,Geum urbanum,cleistogamy,absent,https://gobotany.nativeplanttrust.org/species/geum/urbanum/,Geum urbanum (town avens): Go Botany,Cleistogamous flowers: there are no cleistogamous flowers on the plan,1ee56487f0fe23f8d43f221e147998b1c297dad7a187a8309a1c8d37259bfee7,True,wild_or_unspecified_species_record,Codex evidence audit,2026-08-11T02:29:33.8112372Z,"Exact sitemap species page; h1 and family match the 106,295-species master; the quoted named characteristic maps directly to the same trait; no snippet, cultivar-only statement, cross-trait proxy or inference.",,
gobotany-completion:5e5ad5b45e3f5fe97b2ae7d9,Sabatia angularis,cleistogamy,absent,https://gobotany.nativeplanttrust.org/species/sabatia/angularis/,Sabatia angularis (common rose-gentian): Go Botany,Cleistogamous flowers: there are no cleistogamous flowers on the plan,a8b846d64f81cb76ba5a3e999314072617a9e04058d6536c01285b88fa120a29,True,wild_or_unspecified_species_record,Codex evidence audit,2026-08-11T02:29:33.8112372Z,"Exact sitemap species page; h1 and family match the 106,295-species master; the quoted named characteristic maps directly to the same trait; no snippet, cultivar-only statement, cross-trait proxy or inference.",,
gobotany-completion:1ac0cf43be858a98adc8ab29,Lycopus europaeus,cleistogamy,absent,https://gobotany.nativeplanttrust.org/species/lycopus/europaeus/,Lycopus europaeus (European water-horehound): Go Botany,Cleistogamous flowers: there are no cleistogamous flowers on the plan,c3b29bd28f062775ed06e5ec2be09cf0ed01d75df5f1e7e031c892697eeca25b,True,wild_or_unspecified_species_record,Codex evidence audit,2026-08-11T02:29:33.8112372Z,"Exact sitemap species page; h1 and family match the 106,295-species master; the quoted named characteristic maps directly to the same trait; no snippet, cultivar-only statement, cross-trait proxy or inference.",,
gobotany-completion:77d6d081b809badc7b5f4df7,Ranunculus acris,cleistogamy,absent,https://gobotany.nativeplanttrust.org/species/ranunculus/acris/,"Ranunculus acris (tall buttercup, tall crowfoot): Go Botany",Cleistogamous flowers: there are no cleistogamous flowers on the plan,cdf8d62d9e58eaef7628b9fb881311017443e3b8925aed7ea62a3c8ab52129d3,True,wild_or_unspecified_species_record,Codex evidence audit,2026-08-11T02:29:33.8112372Z,"Exact sitemap species page; h1 and family match the 106,295-species master; the quoted named characteristic maps directly to the same trait; no snippet, cultivar-only statement, cross-trait proxy or inference.",,
gobotany-completion:310830cfdbc3af4a722a7e3c,Euphorbia esula,cleistogamy,absent,https://gobotany.nativeplanttrust.org/species/euphorbia/esula/,Euphorbia esula (leafy spurge): Go Botany,Cleistogamous flowers: there are no cleistogamous flowers on the plan,e0efb19d5d05794834ad5cc3cfd27bff65e7f16fc59c22f60da8a8f2d2cab3df,True,wild_or_unspecified_species_record,Codex evidence audit,2026-08-11T02:29:33.8112372Z,"Exact sitemap species page; h1 and family match the 106,295-species master; the quoted named characteristic maps directly to the same trait; no snippet, cultivar-only statement, cross-trait proxy or inference.",,
gobotany-completion:20c4ef2c55d36704d10392c3,Lythrum salicaria,cleistogamy,absent,https://gobotany.nativeplanttrust.org/species/lythrum/salicaria/,Lythrum salicaria (purple loosestrife): Go Botany,Cleistogamous flowers: there are no cleistogamous flowers on the plan,b697cde2ac507f733bba2f2a9cceaa5dc5ad980cdac4dba76066214de3c38ed0,True,wild_or_unspecified_species_record,Codex evidence audit,2026-08-11T02:29:33.8112372Z,"Exact sitemap species page; h1 and family match the 106,295-species master; the quoted named characteristic maps directly to the same trait; no snippet, cultivar-only statement, cross-trait proxy or inference.",,
gobotany-completion:5927d3e2f34905af2544f88f,Cicer arietinum,cleistogamy,absent,https://gobotany.nativeplanttrust.org/species/cicer/arietinum/,Cicer arietinum (chick-pea): Go Botany,Cleistogamous flowers: there are no cleistogamous flowers on the plan,1508b6ae0d2ebe93f92be2d78f8cc59e7771c92d0bb2ca9abc92ab906c5302ad,True,wild_or_unspecified_species_record,Codex evidence audit,2026-08-11T02:29:33.8112372Z,"Exact sitemap species page; h1 and family match the 106,295-species master; the quoted named characteristic maps directly to the same trait; no snippet, cultivar-only statement, cross-trait proxy or inference.",,
gobotany-completion:58af7f1505b3019771456494,Astragalus canadensis,cleistogamy,absent,https://gobotany.nativeplanttrust.org/species/astragalus/canadensis/,Astragalus canadensis (Canada milk-vetch): Go Botany,Cleistogamous flowers: there are no cleistogamous flowers on the plan,bd15a4bb96f7c258e4ffb1e640249c9f547c3d4a9aafb29b7448e06138d7cbd3,True,wild_or_unspecified_species_record,Codex evidence audit,2026-08-11T02:29:33.8112372Z,"Exact sitemap species page; h1 and family match the 106,295-species master; the quoted named characteristic maps directly to the same trait; no snippet, cultivar-only statement, cross-trait proxy or inference.",,
gobotany-completion:01c657cedb125cfc1f1eff4a,Epilobium hornemannii,cleistogamy,absent,https://gobotany.nativeplanttrust.org/species/epilobium/hornemannii/,Epilobium hornemannii (Hornemann's willow-herb): Go Botany,Cleistogamous flowers: there are no cleistogamous flowers on the plan,afd871f62317555a7c1942d18883ce35ed45af903df4827f538ad16210a3a513,True,wild_or_unspecified_species_record,Codex evidence audit,2026-08-11T02:29:33.8112372Z,"Exact sitemap species page; h1 and family match the 106,295-species master; the quoted named characteristic maps directly to the same trait; no snippet, cultivar-only statement, cross-trait proxy or inference.",,
gobotany-completion:30008946f4165d53841bc7ce,Phytolacca americana,cleistogamy,absent,https://gobotany.nativeplanttrust.org/species/phytolacca/americana/,Phytolacca americana (American pokeweed): Go Botany,Cleistogamous flowers: there are no cleistogamous flowers on the plan,9d651f6b211e658eb3d73782848436941febd6b0f03feb1fd6d350c1deeec1f1,True,wild_or_unspecified_species_record,Codex evidence audit,2026-08-11T02:29:33.8112372Z,"Exact sitemap species page; h1 and family match the 106,295-species master; the quoted named characteristic maps directly to the same trait; no snippet, cultivar-only statement, cross-trait proxy or inference.",,
gobotany-completion:0930f44e3401357d1ab99cf0,Nicotiana quadrivalvis,cleistogamy,absent,https://gobotany.nativeplanttrust.org/species/nicotiana/quadrivalvis/,Nicotiana quadrivalvis (Indian tobacco): Go Botany,Cleistogamous flowers: there are no cleistogamous flowers on the plan,d5839e08650211049445dec6449dd0670e777f5b982f17a9cb246218c3a6e331,True,wild_or_unspecified_species_record,Codex evidence audit,2026-08-11T02:29:33.8112372Z,"Exact sitemap species page; h1 and family match the 106,295-species master; the quoted named characteristic maps directly to the same trait; no snippet, cultivar-only statement, cross-trait proxy or inference.",,
gobotany-completion:5a946ccb1b089298a4f72c55,Silene vulgaris,cleistogamy,absent,https://gobotany.nativeplanttrust.org/species/silene/vulgaris/,Silene vulgaris (bladder campion): Go Botany,Cleistogamous flowers: there are no cleistogamous flowers on the plan,d8607f59a55bed282eed30cf523ee36f4bc6cf4912ff6acf663bc209061607b1,True,wild_or_unspecified_species_record,Codex evidence audit,2026-08-11T02:29:33.8112372Z,"Exact sitemap species page; h1 and family match the 106,295-species master; the quoted named characteristic maps directly to the same trait; no snippet, cultivar-only statement, cross-trait proxy or inference.",,
gobotany-completion:2b6f0bdc63c9694230ca1433,Eschscholzia californica,cleistogamy,absent,https://gobotany.nativeplanttrust.org/species/eschscholzia/californica/,Eschscholzia californica (California-poppy): Go Botany,Cleistogamous flowers: there are no cleistogamous flowers on the plan,c24c2f31dfcdecb5dabed2ed4170cb8ffbd81d6d395a6ffc3ed674d231b5f75f,True,wild_or_unspecified_species_record,Codex evidence audit,2026-08-11T02:29:33.8112372Z,"Exact sitemap species page; h1 and family match the 106,295-species master; the quoted named characteristic maps directly to the same trait; no snippet, cultivar-only statement, cross-trait proxy or inference.",,
gobotany-completion:d96ad22b7739cc9e4c7540e4,Epilobium lactiflorum,cleistogamy,absent,https://gobotany.nativeplanttrust.org/species/epilobium/lactiflorum/,Epilobium lactiflorum (white-flowered willow-herb): Go Botany,Cleistogamous flowers: there are no cleistogamous flowers on the plan,e12512f19488e70af55d845ae8cb3c406f4bfb9ab86eaf3b10355f48e4af5605,True,wild_or_unspecified_species_record,Codex evidence audit,2026-08-11T02:29:33.8112372Z,"Exact sitemap species page; h1 and family match the 106,295-species master; the quoted named characteristic maps directly to the same trait; no snippet, cultivar-only statement, cross-trait proxy or inference.",,
gobotany-completion:45913b29d9d7578ca898c8ea,Ipomoea coccinea,cleistogamy,absent,https://gobotany.nativeplanttrust.org/species/ipomoea/coccinea/,Ipomoea coccinea (red morning-glory): Go Botany,Cleistogamous flowers: there are no cleistogamous flowers on the plan,aaca6043ceceac9805a1e55175f2dc3dcedbfde966da80dd79eda6c732545805,True,wild_or_unspecified_species_record,Codex evidence audit,2026-08-11T02:29:33.8112372Z,"Exact sitemap species page; h1 and family match the 106,295-species master; the quoted named characteristic maps directly to the same trait; no snippet, cultivar-only statement, cross-trait proxy or inference.",,
gobotany-completion:928a937b65c4a7af99c399d7,Mitchella repens,cleistogamy,absent,https://gobotany.nativeplanttrust.org/species/mitchella/repens/,Mitchella repens (partridge-berry): Go Botany,Cleistogamous flowers: there are no cleistogamous flowers on the plan,c1768e271e01b27ebe47bff2232b3295ba9f723e8f2fe28f87e050012868b2ed,True,wild_or_unspecified_species_record,Codex evidence audit,2026-08-11T02:29:33.8112372Z,"Exact sitemap species page; h1 and family match the 106,295-species master; the quoted named characteristic maps directly to the same trait; no snippet, cultivar-only statement, cross-trait proxy or inference.",,
gobotany-completion:c9591839ae726b916ea73962,Mimulus ringens,cleistogamy,absent,https://gobotany.nativeplanttrust.org/species/mimulus/ringens/,Mimulus ringens (Allegheny monkey-flower): Go Botany,Cleistogamous flowers: there are no cleistogamous flowers on the plan,6ef74f2c370396ff8383db254183ba5328b3cec93a4dd260153e820707f12b17,True,wild_or_unspecified_species_record,Codex evidence audit,2026-08-11T02:29:33.8112372Z,"Exact sitemap species page; h1 and family match the 106,295-species master; the quoted named characteristic maps directly to the same trait; no snippet, cultivar-only statement, cross-trait proxy or inference.",,
gobotany-completion:832a38bfcf9f9e5991fb7b01,Silene dioica,cleistogamy,absent,https://gobotany.nativeplanttrust.org/species/silene/dioica/,Silene dioica (red campion): Go Botany,Cleistogamous flowers: there are no cleistogamous flowers on the plan,2692c1502807699e73ab1b2952d16e3a293194362131be42b98c9855f16c9a94,True,wild_or_unspecified_species_record,Codex evidence audit,2026-08-11T02:29:33.8112372Z,"Exact sitemap species page; h1 and family match the 106,295-species master; the quoted named characteristic maps directly to the same trait; no snippet, cultivar-only statement, cross-trait proxy or inference.",,
gobotany-completion:19b0536aa7b3db117a47ca2c,Silene stellata,cleistogamy,absent,https://gobotany.nativeplanttrust.org/species/silene/stellata/,Silene stellata (starry campion): Go Botany,Cleistogamous flowers: there are no cleistogamous flowers on the plan,0e857e696b5f60fae305f59cb9fdf301501687980808b7096f04a8edd362778c,True,wild_or_unspecified_species_record,Codex evidence audit,2026-08-11T02:29:33.8112372Z,"Exact sitemap species page; h1 and family match the 106,295-species master; the quoted named characteristic maps directly to the same trait; no snippet, cultivar-only statement, cross-trait proxy or inference.",,
gobotany-completion:f2b9501b7d39a82bb7b4ea18,Solanum carolinense,cleistogamy,absent,https://gobotany.nativeplanttrust.org/species/solanum/carolinense/,Solanum carolinense (Carolina nightshade): Go Botany,Cleistogamous flowers: there are no cleistogamous flowers on the plan,e01a56e4492abdb3d62b9165cdffc4070c71646c695d94f223aa8e9683ece3ec,True,wild_or_unspecified_species_record,Codex evidence audit,2026-08-11T02:29:33.8112372Z,"Exact sitemap species page; h1 and family match the 106,295-species master; the quoted named characteristic maps directly to the same trait; no snippet, cultivar-only statement, cross-trait proxy or inference.",,
gobotany-completion:cd8439228df76b48ea00f488,Ipomoea pandurata,cleistogamy,absent,https://gobotany.nativeplanttrust.org/species/ipomoea/pandurata/,Ipomoea pandurata (wild sweet potato morning-glory): Go Botany,Cleistogamous flowers: there are no cleistogamous flowers on the plan,d485a1735d0c00466a0e511833a8118d926e2ab36412c44258927a2dc9088202,True,wild_or_unspecified_species_record,Codex evidence audit,2026-08-11T02:29:33.8112372Z,"Exact sitemap species page; h1 and family match the 106,295-species master; the quoted named characteristic maps directly to the same trait; no snippet, cultivar-only statement, cross-trait proxy or inference.",,
gobotany-completion:16fea9ea2f2fe50f07db3f9e,Antirrhinum majus,cleistogamy,absent,https://gobotany.nativeplanttrust.org/species/antirrhinum/majus/,Antirrhinum majus (garden snapdragon): Go Botany,Cleistogamous flowers: there are no cleistogamous flowers on the plan,01d5fa11f2200f4115c8231b10406cfaedd5ff256885dbacd104bf482fc3510d,True,wild_or_unspecified_species_record,Codex evidence audit,2026-08-11T02:29:33.8112372Z,"Exact sitemap species page; h1 and family match the 106,295-species master; the quoted named characteristic maps directly to the same trait; no snippet, cultivar-only statement, cross-trait proxy or inference.",,
gobotany-completion:23d8836dee9b1bcdb93239f5,Crocanthemum propinquum,cleistogamy,facultative,https://gobotany.nativeplanttrust.org/species/crocanthemum/propinquum/,Crocanthemum propinquum (low frostweed): Go Botany,Cleistogamous flowers: the plant has some cleistogamous flower,fe34b922406ba9386a979624006015d21dc5fdfed05b20c1a9a8912bec124dff,True,wild_or_unspecified_species_record,Codex evidence audit,2026-08-11T02:29:33.8112372Z,"Exact sitemap species page; h1 and family match the 106,295-species master; the quoted named characteristic maps directly to the same trait; no snippet, cultivar-only statement, cross-trait proxy or inference.",,
