candidate_id,review_decision,promote_to_ledger,accepted_species_override,normalized_value_override,quality,evidence_scope,source_lineage_override,review_reason
EPMC-d6c18ab50bc787a3cda6,accept_counterevidence,true,,,medium,species_direct,doi:10.3390/plants11192640,Review statement reports wild self-compatible populations and is retained below conflicting High SI evidence
EPMC-2602edaf7982d057f0cf,exclude,false,,,,,,Geitonogamous selfing does not establish autonomous selfing capacity
EPMC-737057615b743fbd7736,superseded_by_manual_correction,false,,,,,,Machine polarity is wrong and the sentence actually supports SI
EPMC-e941ce1fb462a58cec9b,accept_direct,true,,,medium,species_direct,doi:10.1002/ece3.2867,Peer-reviewed species-specific statement explicitly reports a mixed mating system
EPMC-fc70af34635ab56a7031,exclude_false_closed_conflict,false,,,,,,Partially self-compatible is not collapsed to binary SC in a sentence that also reports incomplete SI
EPMC-002519df108d1d4187c5,exclude_false_closed_conflict,false,,,,,,Incomplete SI is not collapsed to binary SI in a sentence that also reports partial SC
EPMC-61d3fdc7fe33f29a7da5,accept_direct,true,,,medium,species_direct,doi:10.3390/plants11192640,Peer-reviewed species-specific statement explicitly reports self-compatible wild populations
EPMC-5e48952062b4a7f503ef,superseded_by_manual_correction,false,,,,,,Parser captured the word was as an epithet and conflated two Saussurea species with opposite states
EPMC-cb9be974fb2ce57ec304,exclude,false,,,,,,Species name occurs only in an EFSA host list and has no self-compatibility statement
EPMC-922c2ae629002580448f,exclude,false,,,,,,A grouped sentence lists several species and several strategies without unambiguous trait attribution
EPMC-0d799145c5b8ed8befd4,accept_counterevidence,true,,,medium,species_direct,doi:10.1111/eva.13691,Species-specific statement reports predominant outcrossing and is retained below existing High mixed-mating evidence
EPMC-fb2e3141ed3f19b123fb,exclude_infraspecific_scope,false,,,,,,The SI statement is limited to subsp. oxysepalum and is not promoted as species-wide direct evidence
EPMC-bf193369a9e923cdfc56,superseded_by_primary_source,false,,,,,,The secondary statement is replaced by the directly inspected primary Vitex doniana experiment
EPMC-6086b9117fb50dacd20c,exclude,false,,,,,,Parser captured the word have as an epithet and fails the species-rank identity gate
EPMC-8f889591acc6ffb7b579,accept_existing_not_promoted,false,,,,,,Bibliographic title duplicates an already represented Vitex negundo source
EPMC-2dde20a0bbb37f24b4ce,accept_existing_not_promoted,false,,,,,,Correction notice is not an independent source lineage
EPMC-4e7e8dc62f9bc0a68d43,accept_existing_not_promoted,false,,,,,,Existing ledger already contains this Vitex negundo article and value
EPMC-bc5944cf18e1b2ccc122,accept_existing_not_promoted,false,,,,,,Existing ledger already contains this Vitex negundo article and value
EPMC-e35ef1f574ee14eff782,accept_existing_not_promoted,false,,,,,,Existing ledger already contains this Vitex negundo article and value
EPMC-4e93d77bb66b7f4325bd,accept_direct,true,,,medium,species_direct,doi:10.2112/JCOASTRES-D-13-00117.1,Peer-reviewed statement explicitly attributes mixed mating to the species and lineage is the cited primary study
EPMC-43048ee8171a9676fbba,exclude_name_backbone_disagreement,false,,,,,,WFO retains Zingiber nudicarpum while GBIF maps it to Zingiber montanum so two-backbone agreement fails
EPMC-30308e5e862cefcbac23,exclude,false,,,,,,Negation was reversed and the sentence explicitly says autonomous selfing is absent
