accepted_species,trait_name,action,review_reason,public_reference
Carica papaya,self_incompatibility,prefer_try,"The current High SI extraction is from an F-box gene-family paper that does not establish papaya SI; breeding-system evidence supports self-pollination/self-compatibility of hermaphroditic papaya.","PMID 18775973 is not papaya breeding-system evidence; papaya breeding-system studies on hermaphrodite self-pollination"
Fragaria iinumae,self_incompatibility,prefer_try,"The cited strawberry paper explicitly lists F. iinumae as self-compatible; the current SI assignment is an entity-attribution extraction error.","PMID 37069931"
Fragaria nilgerrensis,self_incompatibility,prefer_try,"The cited strawberry paper explicitly lists F. nilgerrensis as self-compatible; the current SI assignment is an entity-attribution extraction error.","PMID 37069931"
Lycium californicum,self_incompatibility,mixed_or_variable,"Breeding system differs among cytotypes/populations: diploid cosexual populations retain SI while polyploid/dimorphic populations can be self-compatible.","PMID 16261741 and follow-up Lycium californicum cytotype studies"
Potamogeton berchtoldii,self_incompatibility,prefer_existing,"Later controlled and population evidence supports self-compatibility and dominant selfing; an older interpretation of self-incompatibility was explicitly abandoned. TRY's Ecological Flora record therefore reflects outdated/conflicting source information, not a parser-semantic error.","Kaplan & Stepanek 2003, Plant Systematics and Evolution 239:95-112"
Solanum conocarpum,self_incompatibility,mixed_or_variable,"The current SC extraction partly inherited a statement about S. polygamum, but later species-focused observations report both earlier SI expectations and self-compatible cultivated individuals; preserve biological uncertainty/variation.","PMID 25784480 plus later Solanum conocarpum conservation breeding observations"
Turnera ulmifolia,self_incompatibility,mixed_or_variable,"Compatibility changes with ploidy/variety: diploid and tetraploid populations are SI whereas hexaploid homostylous forms are SC.","PMID 28568757"
Vaccinium uliginosum,self_incompatibility,mixed_or_variable,"Experimental studies show partial self-compatibility/mixed mating rather than strict SI, including measurable self-compatibility indices and fruit production after self-pollination.","Kudo 2022 Ecological Research, doi:10.1111/1440-1703.12314; Interior Alaska pollination experiments"
Solanum americanum,self_incompatibility,prefer_existing,"Species-specific breeding experiments show substantial self seed set and a Morelloid revision reports all tested species in the clade as self-compatible; TRY Tree of Sex mixed coding is not strong enough to replace current SC.","PMID 32530184; Särkinen et al. 2018 revision of Old World black nightshades"
Solanum chacoense,self_incompatibility,mixed_or_variable,"The species is generally SI but well-documented natural/self-compatible Sli-bearing clones exist; a single species-wide binary state would discard real genotype variation.","Hosaka & Hanneman studies of S-locus inhibitor (Sli); USDA ARS publication on Solanum chacoense self-compatibility"
Solanum peruvianum,self_incompatibility,mixed_or_variable,"Most populations are SI and controlled crosses confirm functional GSI, but documented peripheral populations are self-compatible; population polymorphism is explicit.","PMID 21119705; Miller & Kostyun 2011 Heredity"
