family,trait,analysis,inferential_role_original,evaluable_original,trait_state_estimate_original,trait_state_se_original,trait_state_z_original,trait_state_two_sided_p_original,trait_state_one_sided_negative_p_original,n_cells_original,n_publications_original,n_sites_original,n_species_original,reason_original,n_original,p_original,n_clusters_original,n_fixed_effect_groups_original,fixed_effect_group_columns_original,inferential_role_corrected,evaluable_corrected,trait_state_estimate_corrected,trait_state_se_corrected,trait_state_z_corrected,trait_state_two_sided_p_corrected,trait_state_one_sided_negative_p_corrected,n_cells_corrected,n_publications_corrected,n_sites_corrected,n_species_corrected,reason_corrected,n_corrected,p_corrected,n_clusters_corrected,n_fixed_effect_groups_corrected,fixed_effect_group_columns_corrected
reproductive_assurance,selfing_mating_system,parent_support_gate,posthoc_functional_triangulation,False,,,,,,,,,,parent_support_gate_failed,,,,,,posthoc_functional_triangulation,False,,,,,,,,,,parent_support_gate_failed,,,,,
floral_architecture,generalized_form,primary,posthoc_functional_triangulation,True,-0.18410403961825744,0.09179854835657193,-2.005522341193724,0.04490723477943283,0.022453617389716414,426.0,246.0,348.0,246.0,,,,,,,posthoc_functional_triangulation,True,-0.18447582934802761,0.09173915320384751,-2.010873470110587,0.04433882324895506,0.02216941162447753,426.0,246.0,348.0,246.0,,,,,,
floral_architecture,generalized_form,supplemental_only,posthoc_functional_triangulation,True,-0.11354035861327912,0.09829097652192527,-1.1551452903507602,0.24803093419624767,0.12401546709812383,317.0,160.0,252.0,171.0,,,,,,,posthoc_functional_triangulation,True,-0.11362700502902776,0.09753689930126545,-1.1649642939546834,0.24403344634346252,0.12201672317173126,317.0,160.0,252.0,171.0,,,,,,
floral_architecture,generalized_form,no_zero_constant,posthoc_functional_triangulation,True,-0.16577511533838105,0.09803379879809077,-1.6909996080005987,0.09083687751974014,0.04541843875987007,417.0,244.0,345.0,242.0,,,,,,,posthoc_functional_triangulation,True,-0.16611508679919124,0.0980335137224787,-1.6944724359206733,0.09017554519881782,0.04508777259940891,417.0,244.0,345.0,242.0,,,,,,
floral_architecture,generalized_form,within_publication,posthoc_functional_triangulation,False,,,,,,,,,,insufficient_rows_or_clusters,56.0,10.0,7.0,7.0,['study_key'],posthoc_functional_triangulation,False,,,,,,,,,,insufficient_rows_or_clusters,56.0,10.0,7.0,7.0,['study_key']
floral_architecture,generalized_form,within_publication_site,posthoc_functional_triangulation,False,,,,,,,,,,insufficient_rows_or_clusters,49.0,9.0,7.0,9.0,"['study_key', 'site_key']",posthoc_functional_triangulation,False,,,,,,,,,,insufficient_rows_or_clusters,49.0,9.0,7.0,9.0,"['study_key', 'site_key']"
floral_architecture,actinomorphic_symmetry,primary,posthoc_functional_triangulation,True,-0.3811940523382449,0.08699512824306116,-4.381786199259375,1.1771028955817754e-05,5.885514477908877e-06,937.0,479.0,669.0,582.0,,,,,,,posthoc_functional_triangulation,True,-0.3807576952321883,0.08696688592289327,-4.378191666765858,1.1966808922087263e-05,5.983404461043632e-06,937.0,479.0,669.0,582.0,,,,,,
floral_architecture,actinomorphic_symmetry,supplemental_only,posthoc_functional_triangulation,True,-0.1690983474302835,0.08451045996109299,-2.000916188459194,0.045401422694176956,0.022700711347088478,632.0,265.0,422.0,361.0,,,,,,,posthoc_functional_triangulation,True,-0.1668135062299531,0.08440108668632985,-1.9764378964681186,0.04810520300386441,0.024052601501932204,632.0,265.0,422.0,361.0,,,,,,
floral_architecture,actinomorphic_symmetry,no_zero_constant,posthoc_functional_triangulation,True,-0.3777647588218431,0.0895211689240026,-4.219837200098893,2.4447879971094935e-05,1.2223939985547468e-05,913.0,474.0,663.0,570.0,,,,,,,posthoc_functional_triangulation,True,-0.3772904815169476,0.08949346678864208,-4.2158438493393,2.4884590986087322e-05,1.2442295493043661e-05,913.0,474.0,663.0,570.0,,,,,,
floral_architecture,actinomorphic_symmetry,within_publication,posthoc_functional_triangulation,True,-0.12190213888852128,0.18402904486961363,-0.6624070617488133,0.5077103791903966,0.2538551895951983,178.0,16.0,35.0,138.0,,,,,16.0,['study_key'],posthoc_functional_triangulation,True,-0.12173093723676998,0.18403101505938022,-0.6614696832351425,0.5083111506445894,0.2541555753222947,178.0,16.0,35.0,138.0,,,,,16.0,['study_key']
floral_architecture,actinomorphic_symmetry,within_publication_site,posthoc_functional_triangulation,True,-0.09712131067181244,0.20090224607824547,-0.483425708610478,0.628793497730745,0.3143967488653725,163.0,15.0,24.0,129.0,,,,,24.0,"['study_key', 'site_key']",posthoc_functional_triangulation,True,-0.09712131067181244,0.20090224607824547,-0.483425708610478,0.628793497730745,0.3143967488653725,163.0,15.0,24.0,129.0,,,,,24.0,"['study_key', 'site_key']"
floral_architecture,shallow_open_tube,parent_support_gate,posthoc_functional_triangulation,False,,,,,,,,,,parent_support_gate_failed,,,,,,posthoc_functional_triangulation,False,,,,,,,,,,parent_support_gate_failed,,,,,
