accepted_species,family,axis,trait_name,normalized_value,raw_value,evidence_quality,source_provider,source_url,page_title,source_citation,source_excerpt,source_record_id,source_lineage,lineage_method,source_tier,source_type,domain,language,wild_cultivated_cultivar_status,content_sha256,content_sha256_basis,retrieved_at_utc,query,review_status,source_run_id,source_artifact_id,source_artifact_name,candidate_key,review_decision,review_reason_code,review_reason,accepted_correct,species_identity_correct,cultivar_contamination,provenance_complete,reviewer,reviewed_at_utc
Cyperus hemisphaericus,Cyperaceae,floral_structural_complexity,inflorescence_display,composite_display,"Inflorescence a large terminal subcapitate head of clusters of spikelets, cream to pale yellow .",medium,Flora of Malawi,https://www.malawiflora.com/speciesdata/species.php?species_id=110300,Flora of Malawi: Species information: Cyperus hemisphaericus,Flora of Malawi curated regional-flora species treatment,"Inflorescence a large terminal subcapitate head of clusters of spikelets, cream to pale yellow .",malawi-flora:110300:inflorescence_display,provider_treatment:malawi_flora:110300,curated_regional_flora_species_treatment,B,curated_regional_flora_species_treatment,malawiflora.com,en,regional_flora_species_treatment_not_cultivar_limited,c7897ec7ff7b3f73e9fbaac92579123a617793e2daaee5e51f7bb6153ffe96f4,retrieved_species_treatment_html_bytes,2026-08-14T03:49:55Z,credential_free_regional_flora_family_index_exact_species_page,pending_individual_review,31767694551,9207019490,regional-flora-network-acquisition-31767694551,a4801aa13f6db7ca8d9ad987,accept,species_direct_trait_statement_supported,Exact species and family match; the quoted treatment directly states the mapped trait.,True,True,False,True,Codex exact-excerpt regional-flora audit,2026-08-14T04:05:00Z
Euphorbia zambesiana,Euphorbiaceae,flower_colour,flower_primary_color,multicolored_variable,"glands 4 in bisexula cyathia, or sometimes 5 in male only flowers, c. 1 mm wide, transversely elliptic, red with conspicuous white or pink appendages to 1.5 x 2 mm, entire or shallowly 2-3 lobed;",medium,Flora of Malawi,https://www.malawiflora.com/speciesdata/species.php?species_id=115110,Flora of Malawi: Species information: Euphorbia zambesiana,Flora of Malawi curated regional-flora species treatment,"glands 4 in bisexula cyathia, or sometimes 5 in male only flowers, c. 1 mm wide, transversely elliptic, red with conspicuous white or pink appendages to 1.5 x 2 mm, entire or shallowly 2-3 lobed;",malawi-flora:115110:flower_primary_color,provider_treatment:malawi_flora:115110,curated_regional_flora_species_treatment,B,curated_regional_flora_species_treatment,malawiflora.com,en,regional_flora_species_treatment_not_cultivar_limited,550000ecca9fa42f94a63898cb4e2df24d4fe843f35b81b47697d206c7c4df68,retrieved_species_treatment_html_bytes,2026-08-14T03:49:57Z,credential_free_regional_flora_family_index_exact_species_page,pending_individual_review,31767694551,9207019490,regional-flora-network-acquisition-31767694551,7ed9792ae7bf56439c577392,reject,non_primary_organ_colour,The stated red/white/pink colours belong to cyathial glands and appendages.,False,True,False,True,Codex exact-excerpt regional-flora audit,2026-08-14T04:05:00Z
Helinus mystacinus,Rhamnaceae,flower_colour,flower_primary_color,multicolored_variable,"Flowers with a distinct pentagonal disk, in axillary umbels, greenish white",medium,Flora of Malawi,https://www.malawiflora.com/speciesdata/species.php?species_id=137800,Flora of Malawi: Species information: Helinus mystacinus,Flora of Malawi curated regional-flora species treatment,"Flowers with a distinct pentagonal disk, in axillary umbels, greenish white",malawi-flora:137800:flower_primary_color,provider_treatment:malawi_flora:137800,curated_regional_flora_species_treatment,B,curated_regional_flora_species_treatment,malawiflora.com,en,regional_flora_species_treatment_not_cultivar_limited,570ab376e946fe9bc810f48187ac19aa48c6f19c63591839b99d4a5ff0419271,retrieved_species_treatment_html_bytes,2026-08-14T03:49:54Z,credential_free_regional_flora_family_index_exact_species_page,pending_individual_review,31767694551,9207019490,regional-flora-network-acquisition-31767694551,c9d8ca8dfa9244b03f3237a3,accept,species_direct_trait_statement_supported,Exact species and family match; the quoted treatment directly states the mapped trait.,True,True,False,True,Codex exact-excerpt regional-flora audit,2026-08-14T04:05:00Z
Justicia striata,Acanthaceae,flower_colour,flower_primary_color,multicolored_variable,"Flowers in clusters in the upper the leaf axils, white with violet markings in the broad, slightly 3-lobed lip.",medium,Flora of Malawi,https://www.malawiflora.com/speciesdata/species.php?species_id=154560,Flora of Malawi: Species information: Justicia striata,Flora of Malawi curated regional-flora species treatment,"Flowers in clusters in the upper the leaf axils, white with violet markings in the broad, slightly 3-lobed lip.",malawi-flora:154560:flower_primary_color,provider_treatment:malawi_flora:154560,curated_regional_flora_species_treatment,B,curated_regional_flora_species_treatment,malawiflora.com,en,regional_flora_species_treatment_not_cultivar_limited,240b0493fbb7c3d81a75ee46dbbc576a9fcc528c651e2661a82ae7c80a0f6593,retrieved_species_treatment_html_bytes,2026-08-14T03:49:54Z,credential_free_regional_flora_family_index_exact_species_page,pending_individual_review,31767694551,9207019490,regional-flora-network-acquisition-31767694551,26f1d41ebd07f66ca6afbaae,accept,species_direct_trait_statement_supported,Exact species and family match; the quoted treatment directly states the mapped trait.,True,True,False,True,Codex exact-excerpt regional-flora audit,2026-08-14T04:05:00Z
Lelya osteocarpa,Rubiaceae,flower_colour,flower_primary_color,multicolored_variable,"Corolla white or blue, pubescent outside;",medium,Flora of Malawi,https://www.malawiflora.com/speciesdata/species.php?species_id=189680,Flora of Malawi: Species information: Lelya osteocarpa,Flora of Malawi curated regional-flora species treatment,"Corolla white or blue, pubescent outside;",malawi-flora:189680:flower_primary_color,provider_treatment:malawi_flora:189680,curated_regional_flora_species_treatment,B,curated_regional_flora_species_treatment,malawiflora.com,en,regional_flora_species_treatment_not_cultivar_limited,a0662895d01e234f7914d6b7dd5c1e6650994860be18d2de22268e43f68345eb,retrieved_species_treatment_html_bytes,2026-08-14T03:49:55Z,credential_free_regional_flora_family_index_exact_species_page,pending_individual_review,31767694551,9207019490,regional-flora-network-acquisition-31767694551,6613ef89eb5652148a7eeaaa,accept,species_direct_trait_statement_supported,Exact species and family match; the quoted treatment directly states the mapped trait.,True,True,False,True,Codex exact-excerpt regional-flora audit,2026-08-14T04:05:00Z
Liparis caespitosa,Orchidaceae,flower_colour,flower_primary_color,multicolored_variable,"Flowers non-resupinate, greenish-yellow to creamy-yellow, very small",medium,Flora of Malawi,https://www.malawiflora.com/speciesdata/species.php?species_id=180920,Flora of Malawi: Species information: Liparis caespitosa,Flora of Malawi curated regional-flora species treatment,"Flowers non-resupinate, greenish-yellow to creamy-yellow, very small",malawi-flora:180920:flower_primary_color,provider_treatment:malawi_flora:180920,curated_regional_flora_species_treatment,B,curated_regional_flora_species_treatment,malawiflora.com,en,regional_flora_species_treatment_not_cultivar_limited,a5e5ae114bfc961db7146aafdabe042350bfe6d576309ba0f1059d7f174cfba0,retrieved_species_treatment_html_bytes,2026-08-14T03:49:33Z,credential_free_regional_flora_family_index_exact_species_page,pending_individual_review,31767694551,9207019490,regional-flora-network-acquisition-31767694551,ccc0b299c1d8222aeeac02e5,accept,species_direct_trait_statement_supported,Exact species and family match; the quoted treatment directly states the mapped trait.,True,True,False,True,Codex exact-excerpt regional-flora audit,2026-08-14T04:05:00Z
Lobelia giberroa,Campanulaceae,flower_colour,flower_primary_color,multicolored_variable,"Corolla 25–35 mm long, greenish or greenish white often tinged with blue or purple, split to the base on the back, more or less pubescent on the outside at least at the apex, hairless inside;",medium,Flora of Malawi,https://www.malawiflora.com/speciesdata/species.php?species_id=213920,Flora of Malawi: Species information: Lobelia giberroa,Flora of Malawi curated regional-flora species treatment,"Corolla 25–35 mm long, greenish or greenish white often tinged with blue or purple, split to the base on the back, more or less pubescent on the outside at least at the apex, hairless inside;",malawi-flora:213920:flower_primary_color,provider_treatment:malawi_flora:213920,curated_regional_flora_species_treatment,B,curated_regional_flora_species_treatment,malawiflora.com,en,regional_flora_species_treatment_not_cultivar_limited,26165ae7c7f41b2362ce656e710157f6bc6ec8c955279c6dc1e53183463b3190,retrieved_species_treatment_html_bytes,2026-08-14T03:49:54Z,credential_free_regional_flora_family_index_exact_species_page,pending_individual_review,31767694551,9207019490,regional-flora-network-acquisition-31767694551,473c0dee8c4eeb353f87695a,accept,species_direct_trait_statement_supported,Exact species and family match; the quoted treatment directly states the mapped trait.,True,True,False,True,Codex exact-excerpt regional-flora audit,2026-08-14T04:05:00Z
Lobelia giberroa,Campanulaceae,floral_structural_complexity,flower_size_class,medium,25–35 mm,medium,Flora of Malawi,https://www.malawiflora.com/speciesdata/species.php?species_id=213920,Flora of Malawi: Species information: Lobelia giberroa,Flora of Malawi curated regional-flora species treatment,"Corolla 25–35 mm long, greenish or greenish white often tinged with blue or purple, split to the base on the back, more or less pubescent on the outside at least at the apex, hairless inside;",malawi-flora:213920:flower_size_class,provider_treatment:malawi_flora:213920,curated_regional_flora_species_treatment,B,curated_regional_flora_species_treatment,malawiflora.com,en,regional_flora_species_treatment_not_cultivar_limited,26165ae7c7f41b2362ce656e710157f6bc6ec8c955279c6dc1e53183463b3190,retrieved_species_treatment_html_bytes,2026-08-14T03:49:54Z,credential_free_regional_flora_family_index_exact_species_page,pending_individual_review,31767694551,9207019490,regional-flora-network-acquisition-31767694551,24a6b70094b6f8b592d1229d,accept,species_direct_trait_statement_supported,Exact species and family match; the quoted treatment directly states the mapped trait.,True,True,False,True,Codex exact-excerpt regional-flora audit,2026-08-14T04:05:00Z
Momordica foetida,Cucurbitaceae,floral_structural_complexity,floral_symmetry,zygomorphic,"Corolla c. 3.5 cm in diameter, pale orange-yellow, darker near the base, often somewhat zygomorphic",medium,Flora of Malawi,https://www.malawiflora.com/speciesdata/species.php?species_id=157210,Flora of Malawi: Species information: Momordica foetida,Flora of Malawi curated regional-flora species treatment,"Corolla c. 3.5 cm in diameter, pale orange-yellow, darker near the base, often somewhat zygomorphic",malawi-flora:157210:floral_symmetry,provider_treatment:malawi_flora:157210,curated_regional_flora_species_treatment,B,curated_regional_flora_species_treatment,malawiflora.com,en,regional_flora_species_treatment_not_cultivar_limited,691736a5bb76f2ffe5aba371025c6a97fbb8cff008b71b1775c58fa0a5ce7b4c,retrieved_species_treatment_html_bytes,2026-08-14T03:49:59Z,credential_free_regional_flora_family_index_exact_species_page,pending_individual_review,31767694551,9207019490,regional-flora-network-acquisition-31767694551,c54fdb6edef0eb5f817b2481,accept,species_direct_trait_statement_supported,Exact species and family match; the quoted treatment directly states the mapped trait.,True,True,False,True,Codex exact-excerpt regional-flora audit,2026-08-14T04:05:00Z
Momordica foetida,Cucurbitaceae,floral_structural_complexity,flower_size_class,large,3.5 cm,medium,Flora of Malawi,https://www.malawiflora.com/speciesdata/species.php?species_id=157210,Flora of Malawi: Species information: Momordica foetida,Flora of Malawi curated regional-flora species treatment,"Flowers unisexual on different plants, axillary, c. 3.5 cm in diameter || Corolla c. 3.5 cm in diameter, pale orange-yellow, darker near the base, often somewhat zygomorphic",malawi-flora:157210:flower_size_class,provider_treatment:malawi_flora:157210,curated_regional_flora_species_treatment,B,curated_regional_flora_species_treatment,malawiflora.com,en,regional_flora_species_treatment_not_cultivar_limited,691736a5bb76f2ffe5aba371025c6a97fbb8cff008b71b1775c58fa0a5ce7b4c,retrieved_species_treatment_html_bytes,2026-08-14T03:49:59Z,credential_free_regional_flora_family_index_exact_species_page,pending_individual_review,31767694551,9207019490,regional-flora-network-acquisition-31767694551,fcb3209a1a651bd77c63456e,accept,species_direct_trait_statement_supported,Exact species and family match; the quoted treatment directly states the mapped trait.,True,True,False,True,Codex exact-excerpt regional-flora audit,2026-08-14T04:05:00Z
Nervilia bicarinata,Orchidaceae,floral_structural_complexity,flower_size_class,medium,2–4 cm,medium,Flora of Malawi,https://www.malawiflora.com/speciesdata/species.php?species_id=117900,Flora of Malawi: Species information: Nervilia bicarinata,Flora of Malawi curated regional-flora species treatment,"Flowers evenly spaced, 2–4 cm apart",malawi-flora:117900:flower_size_class,provider_treatment:malawi_flora:117900,curated_regional_flora_species_treatment,B,curated_regional_flora_species_treatment,malawiflora.com,en,regional_flora_species_treatment_not_cultivar_limited,4176bdbeeaaf2bd879b574a6e5c81c585732f2caab60d62f0885f4539119bad0,retrieved_species_treatment_html_bytes,2026-08-14T03:49:59Z,credential_free_regional_flora_family_index_exact_species_page,pending_individual_review,31767694551,9207019490,regional-flora-network-acquisition-31767694551,d7344d7caf506f6245c87519,reject,spacing_measurement_not_flower_size,"The measurement is distance between flowers, not flower size.",False,True,False,True,Codex exact-excerpt regional-flora audit,2026-08-14T04:05:00Z
Sorindeia madagascariensis,Anacardiaceae,flower_colour,flower_primary_color,multicolored_variable,"Flowers small, with petals pale reddish-orange or dull red outside, dull yellow inside, in large pendent panicles, 20-95 cm long, usually on the older branches below the leaves or on the trunk",medium,Flora of Malawi,https://www.malawiflora.com/speciesdata/species.php?species_id=177520,Flora of Malawi: Species information: Sorindeia madagascariensis,Flora of Malawi curated regional-flora species treatment,"Flowers small, with petals pale reddish-orange or dull red outside, dull yellow inside, in large pendent panicles, 20-95 cm long, usually on the older branches below the leaves or on the trunk",malawi-flora:177520:flower_primary_color,provider_treatment:malawi_flora:177520,curated_regional_flora_species_treatment,B,curated_regional_flora_species_treatment,malawiflora.com,en,regional_flora_species_treatment_not_cultivar_limited,8c1ce534c0bc81b191bbe6eabdba8f4ff4beaa2a55b8a1d7e7497e7bfa861a27,retrieved_species_treatment_html_bytes,2026-08-14T03:49:25Z,credential_free_regional_flora_family_index_exact_species_page,pending_individual_review,31767694551,9207019490,regional-flora-network-acquisition-31767694551,59440ce6bb79e66f4c6dabfe,accept,species_direct_trait_statement_supported,Exact species and family match; the quoted treatment directly states the mapped trait.,True,True,False,True,Codex exact-excerpt regional-flora audit,2026-08-14T04:05:00Z
Caroxylon littoralis,Amaranthaceae,flower_colour,flower_primary_color,green_brown_inconspicuous,"Perianth with five green, membranous segments at anthesis",medium,Flora of Mozambique,https://www.mozambiqueflora.com/speciesdata/species.php?species_id=228300,Flora of Mozambique: Species information: Caroxylon littoralis,Flora of Mozambique curated regional-flora species treatment,"Perianth with five green, membranous segments at anthesis",mozambique-flora:228300:flower_primary_color,provider_treatment:mozambique_flora:228300,curated_regional_flora_species_treatment,B,curated_regional_flora_species_treatment,mozambiqueflora.com,en,regional_flora_species_treatment_not_cultivar_limited,d89dd4354da8a0223b239eb91e5377fc3254817f739c570911d19474d98697fd,retrieved_species_treatment_html_bytes,2026-08-14T03:49:50Z,credential_free_regional_flora_family_index_exact_species_page,pending_individual_review,31767694551,9207019490,regional-flora-network-acquisition-31767694551,c38a66c1a90773cf87fb3de5,accept,species_direct_trait_statement_supported,Exact species and family match; the quoted treatment directly states the mapped trait.,True,True,False,True,Codex exact-excerpt regional-flora audit,2026-08-14T04:05:00Z
Caroxylon littoralis,Amaranthaceae,floral_structural_complexity,inflorescence_display,solitary,Flowers solitary in the axils of bracts and surrounded by two lateral bracteoles,medium,Flora of Mozambique,https://www.mozambiqueflora.com/speciesdata/species.php?species_id=228300,Flora of Mozambique: Species information: Caroxylon littoralis,Flora of Mozambique curated regional-flora species treatment,Flowers solitary in the axils of bracts and surrounded by two lateral bracteoles,mozambique-flora:228300:inflorescence_display,provider_treatment:mozambique_flora:228300,curated_regional_flora_species_treatment,B,curated_regional_flora_species_treatment,mozambiqueflora.com,en,regional_flora_species_treatment_not_cultivar_limited,d89dd4354da8a0223b239eb91e5377fc3254817f739c570911d19474d98697fd,retrieved_species_treatment_html_bytes,2026-08-14T03:49:50Z,credential_free_regional_flora_family_index_exact_species_page,pending_individual_review,31767694551,9207019490,regional-flora-network-acquisition-31767694551,8e10b716ca02cf37b8bd13bd,accept,species_direct_trait_statement_supported,Exact species and family match; the quoted treatment directly states the mapped trait.,True,True,False,True,Codex exact-excerpt regional-flora audit,2026-08-14T04:05:00Z
Cistanche tinctoria,Orobanchaceae,floral_structural_complexity,flower_size_class,large,4–5 cm,medium,Flora of Mozambique,https://www.mozambiqueflora.com/speciesdata/species.php?species_id=170680,Flora of Mozambique: Species information: Cistanche tinctoria,Flora of Mozambique curated regional-flora species treatment,"Corolla cream-coloured, 4–5 cm long, erect at first, later curving outwards;",mozambique-flora:170680:flower_size_class,provider_treatment:mozambique_flora:170680,curated_regional_flora_species_treatment,B,curated_regional_flora_species_treatment,mozambiqueflora.com,en,regional_flora_species_treatment_not_cultivar_limited,74a23dfd800e349ff906de98703e454ed5917740455f023c060dc2042d876342,retrieved_species_treatment_html_bytes,2026-08-14T03:49:30Z,credential_free_regional_flora_family_index_exact_species_page,pending_individual_review,31767694551,9207019490,regional-flora-network-acquisition-31767694551,31dacc5e41e31a14b2191bed,accept,species_direct_trait_statement_supported,Exact species and family match; the quoted treatment directly states the mapped trait.,True,True,False,True,Codex exact-excerpt regional-flora audit,2026-08-14T04:05:00Z
