accepted_species,axis,trait_name,normalized_value,raw_value,exact_supporting_excerpt,original_source_url,archive_url,archive_timestamp,archive_cdx_digest,retrieved_at,page_response_sha256,page_content_fingerprint,normalized_excerpt_fingerprint,source_lineage,source_citation,source_group,source_type,source_tier,identity_match,cultivar_status,wild_or_cultivated,extraction_rule,review_status
Roystonea oleracea,flower_colour,flower_primary_color,white,"Pistillate flowers white, 2.5-4.5 per cm;","Pistillate flowers white, 2.5-4.5 per cm;",http://www.palmpedia.net:80/wiki/Roystonea_oleracea,https://web.archive.org/web/20200119154842id_/http://www.palmpedia.net:80/wiki/Roystonea_oleracea,20200119154842,SLJKEDXQ2UJ4VWC65KBDLSLEMWI2YVVU,2026-08-12T15:28:44.399832+00:00,a42de79cf4f198c9673eec350314510701860eed7f6dd113a701135219a05cc4,c3e5b637315d84d00cf7463376059a0c67ff56e6a2a695886f4a9638b5681c24,34dac64c0d5e1139311dffbdc06601228ca5cfac8aa292ba618c483df3e98b81,original_citation:bailey_1935_1949_mccurrach_1960_tomlinson_1961,"Bailey, 1935, 1949; McCurrach, 1960; Tomlinson, 1961",palmpedia_palmweb_archive_medium_pilot,specialist_species_treatment_or_original_monograph_republication,B_medium_candidate,exact_species_page_title_and_master,wild_species_treatment,species_treatment_mixed_media_excluded,palmpedia_explicit_flower_colour_v1,pending_manual_review
Coccothrinax barbadensis,flower_colour,flower_primary_color,yellow_orange,"Monoecious, the yellow flowers have both male and female parts.","Monoecious, the yellow flowers have both male and female parts.",http://www.palmpedia.net:80/wiki/Coccothrinax_barbadensis,https://web.archive.org/web/20200119123253id_/http://www.palmpedia.net:80/wiki/Coccothrinax_barbadensis,20200119123253,ZIFQNY2GPC3RAM7R57ZNEP5A32XI4GEM,2026-08-12T15:28:46.799422+00:00,e76f017290fb712a050536c9044af474003d225ca519a216a39aa73dddf7c89e,32fd4147f542a91ae202293714f82b323dd33c460b0a3d24d79eedc645a98419,e70857fa525732b0805f8f35acc760fd13bca042c85bc1638d60847f593d251c,provider_treatment:palmpedia:Coccothrinax_barbadensis,Palmpedia species treatment,palmpedia_palmweb_archive_medium_pilot,specialist_species_treatment_or_original_monograph_republication,B_medium_candidate,exact_species_page_title_and_master,wild_species_treatment,species_treatment_mixed_media_excluded,palmpedia_explicit_flower_colour_v1,pending_manual_review
Rhopalostylis sapida,floral_structural_complexity,inflorescence_display,raceme_spike_panicle,"Flowers pinkish, in multiple spikes at the top of trunk.","Flowers pinkish, in multiple spikes at the top of trunk.",http://www.palmpedia.net:80/wiki/Rhopalostylis_sapida,https://web.archive.org/web/20200119072942id_/http://www.palmpedia.net:80/wiki/Rhopalostylis_sapida,20200119072942,LDILU7KQRKVFBUX7IJMJ6UVJ32SYLT4J,2026-08-12T15:28:47.594060+00:00,05780eb090415075f413ce37eaeffa12fd8f4c02091cf226b6d1f48ee51eadb8,b66c94ffe08bb76b0995581b289b5c1357aad226335e8e76dd61798f06338d11,b12dc7bd27c6385726049250166e9416e882300a690d4a5b5bc616a16711697c,provider_treatment:palmpedia:Rhopalostylis_sapida,Palmpedia species treatment,palmpedia_palmweb_archive_medium_pilot,specialist_species_treatment_or_original_monograph_republication,B_medium_candidate,exact_species_page_title_and_master,wild_species_treatment,species_treatment_mixed_media_excluded,palmpedia_explicit_inflorescence_v1,pending_manual_review
Rhopalostylis sapida,flower_colour,flower_primary_color,red_pink,"Flowers pinkish, in multiple spikes at the top of trunk.","Flowers pinkish, in multiple spikes at the top of trunk.",http://www.palmpedia.net:80/wiki/Rhopalostylis_sapida,https://web.archive.org/web/20200119072942id_/http://www.palmpedia.net:80/wiki/Rhopalostylis_sapida,20200119072942,LDILU7KQRKVFBUX7IJMJ6UVJ32SYLT4J,2026-08-12T15:28:47.594060+00:00,05780eb090415075f413ce37eaeffa12fd8f4c02091cf226b6d1f48ee51eadb8,b66c94ffe08bb76b0995581b289b5c1357aad226335e8e76dd61798f06338d11,b12dc7bd27c6385726049250166e9416e882300a690d4a5b5bc616a16711697c,provider_treatment:palmpedia:Rhopalostylis_sapida,Palmpedia species treatment,palmpedia_palmweb_archive_medium_pilot,specialist_species_treatment_or_original_monograph_republication,B_medium_candidate,exact_species_page_title_and_master,wild_species_treatment,species_treatment_mixed_media_excluded,palmpedia_explicit_flower_colour_v1,pending_manual_review
Rhopalostylis sapida,floral_structural_complexity,flower_size_class,small,"flower-buds tightly packed, lilac Fragrance, about 10 × 7 mm., elliptic-oblong, brick-red.","flower-buds tightly packed, lilac Fragrance, about 10 × 7 mm., elliptic-oblong, brick-red.",http://www.palmpedia.net:80/wiki/Rhopalostylis_sapida,https://web.archive.org/web/20200119072942id_/http://www.palmpedia.net:80/wiki/Rhopalostylis_sapida,20200119072942,LDILU7KQRKVFBUX7IJMJ6UVJ32SYLT4J,2026-08-12T15:28:47.594060+00:00,05780eb090415075f413ce37eaeffa12fd8f4c02091cf226b6d1f48ee51eadb8,b66c94ffe08bb76b0995581b289b5c1357aad226335e8e76dd61798f06338d11,f3e39176d59459961326a065899908787c95f5b14e84985978816a2b1a651761,provider_treatment:palmpedia:Rhopalostylis_sapida,Palmpedia species treatment,palmpedia_palmweb_archive_medium_pilot,specialist_species_treatment_or_original_monograph_republication,B_medium_candidate,exact_species_page_title_and_master,wild_species_treatment,species_treatment_mixed_media_excluded,palmpedia_explicit_whole_flower_measurement_v1,pending_manual_review
Salacca zalacca,floral_structural_complexity,inflorescence_display,raceme_spike_panicle,"Inflorescence an axillary compound spadix, stalked, at first enclosed by spathes;","Inflorescence an axillary compound spadix, stalked, at first enclosed by spathes;",http://www.palmpedia.net:80/wiki/Salacca_zalacca,https://web.archive.org/web/20200119154427id_/http://www.palmpedia.net:80/wiki/Salacca_zalacca,20200119154427,HVZLT3JTL46SV2SAEYSZW4GOA32RIIHN,2026-08-12T15:28:49.635993+00:00,77a0e1a7b32768b47a4683652329edc6296d8299e3a8c1af360bfab0d75c4f47,9fed218a89542e6efe751c2e8cca1707578cbd0f02547ff54755385f161ab0d7,fb4124b5f86e662c0a8649f8472650cffe562fedaab35e99508b65c379b2c65b,provider_treatment:palmpedia:Salacca_zalacca,Palmpedia species treatment,palmpedia_palmweb_archive_medium_pilot,specialist_species_treatment_or_original_monograph_republication,B_medium_candidate,exact_species_page_title_and_master,wild_species_treatment,species_treatment_mixed_media_excluded,palmpedia_explicit_inflorescence_v1,pending_manual_review
Salacca zalacca,floral_structural_complexity,inflorescence_display,raceme_spike_panicle,"male inflorescence 50-100 cm long, consisting of 4-12 spadices, each 7-15 cm x 0.7-2 cm, female one 20-30 cm long, composed of 1-3 spadices, 7-10 cm long.","male inflorescence 50-100 cm long, consisting of 4-12 spadices, each 7-15 cm x 0.7-2 cm, female one 20-30 cm long, composed of 1-3 spadices, 7-10 cm long.",http://www.palmpedia.net:80/wiki/Salacca_zalacca,https://web.archive.org/web/20200119154427id_/http://www.palmpedia.net:80/wiki/Salacca_zalacca,20200119154427,HVZLT3JTL46SV2SAEYSZW4GOA32RIIHN,2026-08-12T15:28:49.635993+00:00,77a0e1a7b32768b47a4683652329edc6296d8299e3a8c1af360bfab0d75c4f47,9fed218a89542e6efe751c2e8cca1707578cbd0f02547ff54755385f161ab0d7,2c85b554bf99bf13305ea91eb139a750ab0768d75b04da50e03ab11a2f238adb,provider_treatment:palmpedia:Salacca_zalacca,Palmpedia species treatment,palmpedia_palmweb_archive_medium_pilot,specialist_species_treatment_or_original_monograph_republication,B_medium_candidate,exact_species_page_title_and_master,wild_species_treatment,species_treatment_mixed_media_excluded,palmpedia_explicit_inflorescence_v1,pending_manual_review
Salacca zalacca,floral_structural_complexity,floral_form,tubular,"staminate flowers with reddish, tubular corolla and 6 stamens borne on the corolla throat and a minute pistillode;","staminate flowers with reddish, tubular corolla and 6 stamens borne on the corolla throat and a minute pistillode;",http://www.palmpedia.net:80/wiki/Salacca_zalacca,https://web.archive.org/web/20200119154427id_/http://www.palmpedia.net:80/wiki/Salacca_zalacca,20200119154427,HVZLT3JTL46SV2SAEYSZW4GOA32RIIHN,2026-08-12T15:28:49.635993+00:00,77a0e1a7b32768b47a4683652329edc6296d8299e3a8c1af360bfab0d75c4f47,9fed218a89542e6efe751c2e8cca1707578cbd0f02547ff54755385f161ab0d7,4d660d5c9a26dc12e5004f55817213ad640fddc6851c782ed414a355095a269a,provider_treatment:palmpedia:Salacca_zalacca,Palmpedia species treatment,palmpedia_palmweb_archive_medium_pilot,specialist_species_treatment_or_original_monograph_republication,B_medium_candidate,exact_species_page_title_and_master,wild_species_treatment,species_treatment_mixed_media_excluded,palmpedia_explicit_floral_form_v1,pending_manual_review
Salacca zalacca,floral_structural_complexity,floral_form,tubular,"pistillate ones with tubular corolla, yellow-green outside and dark red inside, a trilocular ovary with short trifid, red style and 6 staminodes borne on the corolla throat.","pistillate ones with tubular corolla, yellow-green outside and dark red inside, a trilocular ovary with short trifid, red style and 6 staminodes borne on the corolla throat.",http://www.palmpedia.net:80/wiki/Salacca_zalacca,https://web.archive.org/web/20200119154427id_/http://www.palmpedia.net:80/wiki/Salacca_zalacca,20200119154427,HVZLT3JTL46SV2SAEYSZW4GOA32RIIHN,2026-08-12T15:28:49.635993+00:00,77a0e1a7b32768b47a4683652329edc6296d8299e3a8c1af360bfab0d75c4f47,9fed218a89542e6efe751c2e8cca1707578cbd0f02547ff54755385f161ab0d7,8dda0356911c30482fc8ef2251c855f10a6546c2250a9850e35c3b9d17d4eb1b,provider_treatment:palmpedia:Salacca_zalacca,Palmpedia species treatment,palmpedia_palmweb_archive_medium_pilot,specialist_species_treatment_or_original_monograph_republication,B_medium_candidate,exact_species_page_title_and_master,wild_species_treatment,species_treatment_mixed_media_excluded,palmpedia_explicit_floral_form_v1,pending_manual_review
Dypsis madagascariensis,flower_colour,flower_primary_color,yellow_orange,"Saminate flowers yellow-greeen with sepals 1.5-1.6 x 1.3-1.8 mm, keeled, basally gibbous, membranous apart from the keel, hooded distally;","Saminate flowers yellow-greeen with sepals 1.5-1.6 x 1.3-1.8 mm, keeled, basally gibbous, membranous apart from the keel, hooded distally;",http://www.palmpedia.net:80/wiki/Dypsis_madagascariensis,https://web.archive.org/web/20200119155722id_/http://www.palmpedia.net:80/wiki/Dypsis_madagascariensis,20200119155722,OJRK35S4QVKKBWDGRSWCLGAYJ4DB75GW,2026-08-12T15:28:50.650954+00:00,7204edb62656ea96859d8e380d8b1f75eb5c317e2cc0e83fdcc4d9329955ed77,7ddc56881d2d7ba2a709491627d2771f891584ef45efe08828e20dbc0fa16f48,bb6e22994e97d5c122e55edd63a4ea6bd86e4d37dda459a36fe8dddda3b28af8,original_citation:staples_herbst_2005_p_622,"Staples & Herbst, 2005; p. 622",palmpedia_palmweb_archive_medium_pilot,specialist_species_treatment_or_original_monograph_republication,B_medium_candidate,exact_species_page_title_and_master,wild_species_treatment,species_treatment_mixed_media_excluded,palmpedia_explicit_flower_colour_v1,pending_manual_review
Korthalsia laciniosa,floral_structural_complexity,flower_size_class,very_small,Flowers about 0.5 x 0.2 cm.,Flowers about 0.5 x 0.2 cm.,http://www.palmpedia.net:80/wiki/Korthalsia_laciniosa,https://web.archive.org/web/20200119122553id_/http://www.palmpedia.net:80/wiki/Korthalsia_laciniosa,20200119122553,BTBTY6YCPHEKGUGPQRPAQHMPSOTXHCSU,2026-08-12T15:28:53.027981+00:00,0860d2d915b2ce7bb6d9aad0a638aaee77379bb11b7fbc9d2344ca4aee8a5da3,07ae3cdacba7494aeff94441af4b5347982c7bc8ab3cf2ac3493849222190344,be4aba70296e3410c90e6ea99028b7fdbd88b228efd244457841ef2c473906e8,original_citation:c_renuka_a_manual_of_the_rattans_of_andaman_and_nicobar_islands_1995,"C. Renuka, A Manual of the Rattans of Andaman and Nicobar Islands. 1995",palmpedia_palmweb_archive_medium_pilot,specialist_species_treatment_or_original_monograph_republication,B_medium_candidate,exact_species_page_title_and_master,wild_species_treatment,species_treatment_mixed_media_excluded,palmpedia_explicit_whole_flower_measurement_v1,pending_manual_review
Oncosperma tigillarium,floral_structural_complexity,inflorescence_display,raceme_spike_panicle,"Inflorescence: Ramified and thorny, among the leaves, yellow with flowers of both sexes placed in the typical triad (a feminine flower amidst two masculine ones) The spadix is 30-40 cm wide and longer at crown apex.","Inflorescence: Ramified and thorny, among the leaves, yellow with flowers of both sexes placed in the typical triad (a feminine flower amidst two masculine ones) The spadix is 30-40 cm wide and longer at crown apex.",http://www.palmpedia.net:80/wiki/Oncosperma_tigillarium,https://web.archive.org/web/20200217165943id_/http://www.palmpedia.net:80/wiki/Oncosperma_tigillarium,20200217165943,MIV3ELMRYZWCVVJJ6ZPB654TONZVXTZC,2026-08-12T15:28:53.595978+00:00,750472d1dec9fe89638154764b48f55f41d3f7d2d04decc6d0f663cd37b40eda,c8137a5060aaf4466c16cccebb9dca52faaa79faed6049a60e4e2869b6a06af0,354f483c0ec564753aeb8fe18fccead293ccf5fa4dadace057137fc66941aa77,original_citation:e_g_seeman_1856_ethelbert_blatter_1926,"e.g., Seeman 1856, Ethelbert Blatter 1926",palmpedia_palmweb_archive_medium_pilot,specialist_species_treatment_or_original_monograph_republication,B_medium_candidate,exact_species_page_title_and_master,wild_species_treatment,species_treatment_mixed_media_excluded,palmpedia_explicit_inflorescence_v1,pending_manual_review
Dypsis decaryi,flower_colour,flower_primary_color,yellow_orange,"triads, distant, slightly sunken, with small yellowish flowers.","triads, distant, slightly sunken, with small yellowish flowers.",http://www.palmpedia.net:80/wiki/Dypsis_decaryi,https://web.archive.org/web/20200203115541id_/http://www.palmpedia.net:80/wiki/Dypsis_decaryi,20200203115541,7JU3CPVQE3Z6EBN5LN2B436YDIMRCBQW,2026-08-12T15:28:53.907818+00:00,3934f17a709f838a46f15d9ae1e46d2c95cfdaa8ea15b2fba012ef2e19b3f39d,39f3128ed79a90e8852d02053d6af0d087bf12dce3eda8c2e14718b1b599c39b,da1445c2bf53ea4093e17d9b3f971e7b04e439990aaf83ed232fecd2272b7c81,original_citation:j_dransfield_and_h_beentje_1995,J. Dransfield and H. Beentje. 1995,palmpedia_palmweb_archive_medium_pilot,specialist_species_treatment_or_original_monograph_republication,B_medium_candidate,exact_species_page_title_and_master,wild_species_treatment,species_treatment_mixed_media_excluded,palmpedia_explicit_flower_colour_v1,pending_manual_review
Aiphanes minima,floral_structural_complexity,inflorescence_display,raceme_spike_panicle,"Flowers monoecious , whitish yellow, grouped in panicles, axillary and interlayer compounds (length: 2 m).","Flowers monoecious , whitish yellow, grouped in panicles, axillary and interlayer compounds (length: 2 m).",http://www.palmpedia.net:80/wiki/Aiphanes_minima,https://web.archive.org/web/20200124083418id_/http://www.palmpedia.net:80/wiki/Aiphanes_minima,20200124083418,NUXXDC22RH5ENDZQHSFAYJYTZQVTR6PM,2026-08-12T15:28:58.033175+00:00,9b320e590bcfd59d8b53de2cc884597b90a3a7f9b09bec0942880e5250b36042,eba549803b5e9686d922b0bbb1b6906970b48aff83c38bc9f3ec071d1b72fb84,cffe963939959b4fdf8c7d85787dc49327493f96f37164e5934058eab4b760ee,provider_treatment:palmpedia:Aiphanes_minima,Palmpedia species treatment,palmpedia_palmweb_archive_medium_pilot,specialist_species_treatment_or_original_monograph_republication,B_medium_candidate,exact_species_page_title_and_master,wild_species_treatment,species_treatment_mixed_media_excluded,palmpedia_explicit_inflorescence_v1,pending_manual_review
Aiphanes minima,flower_colour,flower_primary_color,yellow_orange,Fragrant creamy to light yellow flowers.,Fragrant creamy to light yellow flowers.,http://www.palmpedia.net:80/wiki/Aiphanes_minima,https://web.archive.org/web/20200124083418id_/http://www.palmpedia.net:80/wiki/Aiphanes_minima,20200124083418,NUXXDC22RH5ENDZQHSFAYJYTZQVTR6PM,2026-08-12T15:28:58.033175+00:00,9b320e590bcfd59d8b53de2cc884597b90a3a7f9b09bec0942880e5250b36042,eba549803b5e9686d922b0bbb1b6906970b48aff83c38bc9f3ec071d1b72fb84,006650df61668e770a5b4603da766bc780492a72f30c6d3911954a73f3f0250e,provider_treatment:palmpedia:Aiphanes_minima,Palmpedia species treatment,palmpedia_palmweb_archive_medium_pilot,specialist_species_treatment_or_original_monograph_republication,B_medium_candidate,exact_species_page_title_and_master,wild_species_treatment,species_treatment_mixed_media_excluded,palmpedia_explicit_flower_colour_v1,pending_manual_review
Arenga ryukyuensis,floral_structural_complexity,flower_size_class,small,"staminate flowers 8-9.5 mm long, spirally and distantly arranged;","staminate flowers 8-9.5 mm long, spirally and distantly arranged;",http://www.palmpedia.net:80/wiki/Arenga_ryukyuensis,https://web.archive.org/web/20200124143433id_/http://www.palmpedia.net:80/wiki/Arenga_ryukyuensis,20200124143433,FMWBFT43EDP52KAPMPBJKWJNFKDBZJHA,2026-08-12T15:29:01.842130+00:00,e78aeaaa50dad6528362a322657d948272000ab597cd281dc428f357405bc4fa,c3e0dbc243fcf9e57be033d13df937d818be4aba3a718073a47e9be20e1fbcb2,45cb0a759f6e29ef0d2bb6040246543749484dc5130fd2ea62800a0983d85f71,original_citation:henderson_a_j_2006,"Henderson, A.J. 2006",palmpedia_palmweb_archive_medium_pilot,specialist_species_treatment_or_original_monograph_republication,B_medium_candidate,exact_species_page_title_and_master,wild_species_treatment,species_treatment_mixed_media_excluded,palmpedia_explicit_whole_flower_measurement_v1,pending_manual_review
