accepted_species,searched_taxon,axis,trait_name,normalized_value,provider,resource_id,query_url,source_name,source_record_ids,supporting_excerpt,decision,reason,name_match_method,reviewer,reviewed_at_utc
Omphalea bracteata,Omphalea bracteata,flower_colour,flower_primary_color,green_brown_inconspicuous,bhl,cc636680-abfb-4143-9b99-62dcb562f8da,https://data.nhm.ac.uk/api/3/action/datastore_search?resource_id=cc636680-abfb-4143-9b99-62dcb562f8da&q=Omphalea+bracteata&limit=100,bhl,zhz03b60cc3d,flower colour = ferruginous,accept,source_specific_structured_cell_reviewed,accepted_name_exact,Codex evidence review,2026-08-27T15:00:00Z
Osteomeles schweriniae,Osteomeles schwerinae,floral_structural_complexity,floral_form,bell_campanulate,flora_china,6537b171-c40e-4936-90bd-f1cd4f9697e7,https://data.nhm.ac.uk/api/3/action/datastore_search?resource_id=6537b171-c40e-4936-90bd-f1cd4f9697e7&q=Osteomeles+schwerinae&limit=100,efloras.flora_of_china,iuq0aa7b6f70,flower shape = campanulate,accept,source_specific_structured_cell_reviewed,wfo_stable_identifier_orthographic_variant,Codex evidence review,2026-08-27T15:00:00Z
Ouret sanguinolenta,Aerva sanguinolenta,flower_colour,flower_primary_color,blue_purple|multicolored_variable|white,flora_china,6537b171-c40e-4936-90bd-f1cd4f9697e7,https://data.nhm.ac.uk/api/3/action/datastore_search?resource_id=6537b171-c40e-4936-90bd-f1cd4f9697e7&q=Aerva+sanguinolenta&limit=100,efloras.flora_of_china,iuq0aa7b376a,"flower colour = purple, white",accept,source_specific_structured_cell_reviewed,wfo_gbif_two_backbone_strict_synonym,Codex evidence review,2026-08-27T15:00:00Z
Plukenetia volubilis,Plukenetia volubilis,floral_structural_complexity,inflorescence_display,raceme_spike_panicle,bhl,cc636680-abfb-4143-9b99-62dcb562f8da,https://data.nhm.ac.uk/api/3/action/datastore_search?resource_id=cc636680-abfb-4143-9b99-62dcb562f8da&q=Plukenetia+volubilis&limit=100,bhl,zhz03b60ebef|zhz03b60ebf0,"inflorescence arrangement = panicle || inflorescence arrangement = raceme, clustered",accept,source_specific_structured_cell_reviewed,accepted_name_exact,Codex evidence review,2026-08-27T15:00:00Z
Pseudocarpidium ilicifolium,Pseudocarpidium ilicifolium,floral_structural_complexity,floral_form,bilabiate,bhl,cc636680-abfb-4143-9b99-62dcb562f8da,https://data.nhm.ac.uk/api/3/action/datastore_search?resource_id=cc636680-abfb-4143-9b99-62dcb562f8da&q=Pseudocarpidium+ilicifolium&limit=100,bhl,zhz03b60fa77|zhz03b60fa78|zhz03b60fa79|zhz03b60fa7a|zhz03b60fa7b,corolla tube lipped = lipped,accept,source_specific_structured_cell_reviewed,accepted_name_exact,Codex evidence review,2026-08-27T15:00:00Z
Rhinacanthus virens,Rhinacanthus virens,floral_structural_complexity,floral_form,bilabiate,bhl,cc636680-abfb-4143-9b99-62dcb562f8da,https://data.nhm.ac.uk/api/3/action/datastore_search?resource_id=cc636680-abfb-4143-9b99-62dcb562f8da&q=Rhinacanthus+virens&limit=100,bhl,zhz03b6105ca,corolla tube lipped = lipped,accept,source_specific_structured_cell_reviewed,accepted_name_exact,Codex evidence review,2026-08-27T15:00:00Z
Schweinfurthia pedicellata,Schweinfurthia pedicellata,floral_structural_complexity,floral_form,bilabiate,bhl,cc636680-abfb-4143-9b99-62dcb562f8da,https://data.nhm.ac.uk/api/3/action/datastore_search?resource_id=cc636680-abfb-4143-9b99-62dcb562f8da&q=Schweinfurthia+pedicellata&limit=100,bhl,zhz03b611d17,corolla tube lipped = lipped,accept,source_specific_structured_cell_reviewed,accepted_name_exact,Codex evidence review,2026-08-27T15:00:00Z
Sericocarpus tortifolius,Sericocarpus tortifolius,floral_structural_complexity,inflorescence_display,other_described|raceme_spike_panicle,bhl,cc636680-abfb-4143-9b99-62dcb562f8da,https://data.nhm.ac.uk/api/3/action/datastore_search?resource_id=cc636680-abfb-4143-9b99-62dcb562f8da&q=Sericocarpus+tortifolius&limit=100,bhl,zhz03b6124d4|zhz03b6124d6|zhz03b6124d8|zhz03b6124d9|zhz03b6124da|zhz03b6124db,"inflorescence arrangement = panicle || inflorescence arrangement = panicle, cyme",accept,source_specific_structured_cell_reviewed,accepted_name_exact,Codex evidence review,2026-08-27T15:00:00Z
Simethis mattiazzii,Simethis mattiazzii,floral_structural_complexity,inflorescence_display,other_described,ecoflora,378435a5-f6d4-42b6-be40-21d3bda73158,https://data.nhm.ac.uk/api/3/action/datastore_search?resource_id=378435a5-f6d4-42b6-be40-21d3bda73158&q=Simethis+mattiazzii&limit=100,ecoflora,pnj0bc669f57,inflorescence arrangement = cyme,accept,source_specific_structured_cell_reviewed,accepted_name_exact,Codex evidence review,2026-08-27T15:00:00Z
Streptanthus lasiophyllus,Streptanthus lasiophyllus,floral_structural_complexity,inflorescence_display,raceme_spike_panicle|umbel_corymb,bhl,cc636680-abfb-4143-9b99-62dcb562f8da,https://data.nhm.ac.uk/api/3/action/datastore_search?resource_id=cc636680-abfb-4143-9b99-62dcb562f8da&q=Streptanthus+lasiophyllus&limit=100,bhl,zhz03b613a59|zhz03b613a5c,inflorescence arrangement = corymb || inflorescence arrangement = raceme,accept,source_specific_structured_cell_reviewed,accepted_name_exact,Codex evidence review,2026-08-27T15:00:00Z
Stylocline gnaphalioides,Stylocline gnaphaloides,floral_structural_complexity,inflorescence_display,raceme_spike_panicle,flora_north_america,dd2dccaf-8cd1-4091-940c-a505ae6cb03f,https://data.nhm.ac.uk/api/3/action/datastore_search?resource_id=dd2dccaf-8cd1-4091-940c-a505ae6cb03f&q=Stylocline+gnaphaloides&limit=100,efloras.flora_of_north_america,kls007f81234,inflorescence arrangement = raceme,accept,source_specific_structured_cell_reviewed,wfo_stable_identifier_orthographic_variant,Codex evidence review,2026-08-27T15:00:00Z
Stylocline gnaphalioides,Stylocline gnaphaloides,floral_structural_complexity,tube_depth_class,shallow,flora_north_america,dd2dccaf-8cd1-4091-940c-a505ae6cb03f,https://data.nhm.ac.uk/api/3/action/datastore_search?resource_id=dd2dccaf-8cd1-4091-940c-a505ae6cb03f&q=Stylocline+gnaphaloides&limit=100,efloras.flora_of_north_america,kls007f81234,corolla tube min/max length [cm] = 0.1 cm | 0.18 cm,accept,source_specific_structured_cell_reviewed,wfo_stable_identifier_orthographic_variant,Codex evidence review,2026-08-27T15:00:00Z
Symphytum ibiricum,Symphytum ibiricum,flower_colour,flower_primary_color,multicolored_variable|red_pink|white|yellow_orange,ecoflora,378435a5-f6d4-42b6-be40-21d3bda73158,https://data.nhm.ac.uk/api/3/action/datastore_search?resource_id=378435a5-f6d4-42b6-be40-21d3bda73158&q=Symphytum+ibiricum&limit=100,ecoflora,pnj0bc669f9e,"corolla colour = white, pink, yellowish",accept,source_specific_structured_cell_reviewed,accepted_name_exact,Codex evidence review,2026-08-27T15:00:00Z
Tarenaya aculeata,Cleome aculeata,flower_colour,flower_primary_color,white,bhl,cc636680-abfb-4143-9b99-62dcb562f8da,https://data.nhm.ac.uk/api/3/action/datastore_search?resource_id=cc636680-abfb-4143-9b99-62dcb562f8da&q=Cleome+aculeata&limit=100,bhl,zhz03b601df4,flower colour = white,accept,source_specific_structured_cell_reviewed,wfo_gbif_two_backbone_strict_synonym,Codex evidence review,2026-08-27T15:00:00Z
Teijsmanniodendron coriaceum,Teijsmanniodendron coriaceum,floral_structural_complexity,floral_form,bilabiate,bhl,cc636680-abfb-4143-9b99-62dcb562f8da,https://data.nhm.ac.uk/api/3/action/datastore_search?resource_id=cc636680-abfb-4143-9b99-62dcb562f8da&q=Teijsmanniodendron+coriaceum&limit=100,bhl,zhz03b6145a8,corolla tube lipped = lipped,accept,source_specific_structured_cell_reviewed,accepted_name_exact,Codex evidence review,2026-08-27T15:00:00Z
Ulex gallii,Ulex gallii,floral_structural_complexity,tube_depth_class,intermediate,ecoflora,378435a5-f6d4-42b6-be40-21d3bda73158,https://data.nhm.ac.uk/api/3/action/datastore_search?resource_id=378435a5-f6d4-42b6-be40-21d3bda73158&q=Ulex+gallii&limit=100,ecoflora,pnj0bc669ff0,corolla tube min/max length [cm] = 1.2 cm | 1.8 cm,accept,source_specific_structured_cell_reviewed,accepted_name_exact,Codex evidence review,2026-08-27T15:00:00Z
Ulex minor,Ulex minor,floral_structural_complexity,tube_depth_class,intermediate,ecoflora,378435a5-f6d4-42b6-be40-21d3bda73158,https://data.nhm.ac.uk/api/3/action/datastore_search?resource_id=378435a5-f6d4-42b6-be40-21d3bda73158&q=Ulex+minor&limit=100,ecoflora,pnj0bc669ff1,corolla tube min/max length [cm] = 1.2 cm | 1.8 cm,accept,source_specific_structured_cell_reviewed,accepted_name_exact,Codex evidence review,2026-08-27T15:00:00Z
Uvaria monticola,Uvaria monticola,flower_colour,flower_primary_color,green_brown_inconspicuous,bhl,cc636680-abfb-4143-9b99-62dcb562f8da,https://data.nhm.ac.uk/api/3/action/datastore_search?resource_id=cc636680-abfb-4143-9b99-62dcb562f8da&q=Uvaria+monticola&limit=100,bhl,zhz03b615587,flower colour = ferruginous,accept,source_specific_structured_cell_reviewed,accepted_name_exact,Codex evidence review,2026-08-27T15:00:00Z
Wallenia lamarckiana,Wallenia lamarckiana,flower_colour,flower_primary_color,green_brown_inconspicuous,bhl,cc636680-abfb-4143-9b99-62dcb562f8da,https://data.nhm.ac.uk/api/3/action/datastore_search?resource_id=cc636680-abfb-4143-9b99-62dcb562f8da&q=Wallenia+lamarckiana&limit=100,bhl,zhz03b6162b3,flower colour = ferruginous,accept,source_specific_structured_cell_reviewed,accepted_name_exact,Codex evidence review,2026-08-27T15:00:00Z
