candidate_id,trait_name,accepted_correct,cultivar_status,reviewer,reviewed_at_utc,audit_reason,accepted_species,normalized_value,source_url,source_lineage,source_excerpt,deterministic_order
WFO8-03032,flower_primary_color,true,wild,Codex cached-artifact trait-specific recovery audit,2026-08-13T15:10:00Z,"Accepted-name species-direct record; exact source excerpt, stable URL, same-trait ontology mapping, provenance and source lineage rechecked.",Sorbus meliosmifolia,white,https://list.worldfloraonline.org/wfo-0001016340,provider_treatment:flora_of_china_efloras:wfo-0001016340,"Petals white, ovate, 3–4 mm and ca",0fb4d31237ebb4d65d117bed5d2c72dbeaafa61b29736824222f13530795ca8a
wfo-global-6b16996a748e921de8d2d6c0,flower_primary_color,true,wild,Codex cached-artifact trait-specific recovery audit,2026-08-13T15:10:00Z,"Accepted-name species-direct record; exact source excerpt, stable URL, same-trait ontology mapping, provenance and source lineage rechecked.",Madisonia spiculifera,red_pink|yellow_orange,https://list.worldfloraonline.org/wfo-0000278531,provider_treatment:nybg_memoirs:Madisonia spiculifera,"Flowers minute, dark maroon with center of lip yellow; sepals subsimilar, lanceolate, obtuse, 4.3 X 1.6 mm; petals linear, acute, 4.3 X 0.9 mm; lip 3-lobed, the lateral lobes falcate, erect, the midlobe triangular, acute, 3 X 1.7 mm; column winged, with paired, apical, filiform appendages.",12b5f0a4a558bf528887152c2bf5f8100cb0315c1d274541c51a249291162a1c
WFO8-02134,flower_primary_color,true,wild,Codex cached-artifact trait-specific recovery audit,2026-08-13T15:10:00Z,"Accepted-name species-direct record; exact source excerpt, stable URL, same-trait ontology mapping, provenance and source lineage rechecked.",Corymborkis corymbis,green_brown_inconspicuous|white,https://list.worldfloraonline.org/wfo-0000925741,provider_treatment:e_flora_south_africa:wfo-0000925741,"flowers greenish white, star-shaped",14115cb72e27da3f09336c814aaf3b9b22208ffc432cb4e20842d2185ea016ad
SEQ4-0119,flower_primary_color,true,wild,Codex cached-artifact trait-specific recovery audit,2026-08-13T15:10:00Z,"Accepted-name species-direct record; exact source excerpt, stable URL, same-trait ontology mapping, provenance and source lineage rechecked.",Arum cylindraceum,green_brown_inconspicuous|red_pink,https://pladias.cz/en/taxon/data/Arum%20cylindraceum,provider:pladias_flower_colour,"Flower colour : green, red-brown",14afc9b67064218c7e77f4028498c83f3ff90a907d6b2f8ad7e8f0a4b671c135
WFO8-01998,flower_primary_color,true,wild,Codex cached-artifact trait-specific recovery audit,2026-08-13T15:10:00Z,"Accepted-name species-direct record; exact source excerpt, stable URL, same-trait ontology mapping, provenance and source lineage rechecked.",Blepharis capensis,blue_purple|green_brown_inconspicuous|red_pink|white,https://list.worldfloraonline.org/wfo-0000566587,provider_treatment:e_flora_south_africa:wfo-0000566587,"Corolla white or creamy white with brown or mauve veins (rarely pinkish tinged), 20-28(-32) mm long of which the tube 4-7 mm",15cbb970ce3571716b176a364864d06abb19cb828fe3a91ee23d61dbc1c5a1f1
WFO8-01946,flower_primary_color,true,wild,Codex cached-artifact trait-specific recovery audit,2026-08-13T15:10:00Z,"Accepted-name species-direct record; exact source excerpt, stable URL, same-trait ontology mapping, provenance and source lineage rechecked.",Anaphalis contorta,yellow_orange,https://list.worldfloraonline.org/wfo-0000120443,provider_treatment:flora_of_pakistan_mbg:wfo-0000120443,"Corolla of female florets yellow, 2",1620f382a9b9ff74fa31e5a147ac23ff59d28914d2b245c5709bdcaedad0f4fe
SEQ5-0075,flower_primary_color,true,wild,Codex cached-artifact trait-specific recovery audit,2026-08-13T15:10:00Z,"Accepted-name species-direct record; exact source excerpt, stable URL, same-trait ontology mapping, provenance and source lineage rechecked.",Arabidopsis petraea,white,https://pladias.cz/en/taxon/data/Arabidopsis%20petraea,provider:pladias_flower_colour,Flower colour : white,1e9cc969761f80016bad73f56ba16b6b8e899cdf30a0ef43b66bb52b42933ef0
WFO8-02147,flower_primary_color,true,wild,Codex cached-artifact trait-specific recovery audit,2026-08-13T15:10:00Z,"Accepted-name species-direct record; exact source excerpt, stable URL, same-trait ontology mapping, provenance and source lineage rechecked.",Cotoneaster soongoricus,white,https://list.worldfloraonline.org/wfo-0000987722,provider_treatment:flora_of_china_efloras:wfo-0000987722,"Petals spreading, white, ovate to suborbicular, 2",212204d65b4b9f070fb56e8fbf2465f92bbe76303d17f0a28edd9ef063e213b2
WFO8-02277,flower_primary_color,true,wild,Codex cached-artifact trait-specific recovery audit,2026-08-13T15:10:00Z,"Accepted-name species-direct record; exact source excerpt, stable URL, same-trait ontology mapping, provenance and source lineage rechecked.",Erica trichoclada,red_pink,https://list.worldfloraonline.org/wfo-0000673444,provider_treatment:e_flora_south_africa:wfo-0000673444,"corolla funnel-shaped, abruptly widening above the middle, glabrous, dry, 'pink', 1 lin",21a2c27cf6e3b6e06471c2f97ec0b5eca777969d6e5484c670702d3bda1e6165
WFO8-02996,flower_primary_color,true,wild,Codex cached-artifact trait-specific recovery audit,2026-08-13T15:10:00Z,"Accepted-name species-direct record; exact source excerpt, stable URL, same-trait ontology mapping, provenance and source lineage rechecked.",Silene viscosa,white,https://list.worldfloraonline.org/wfo-0000440173,provider_treatment:flora_of_pakistan_mbg:wfo-0000440173,"Petal white, limb c",21edf8a48ea01b4cf0bbbe24b09c20db75a5a5fd72a8056a9639358948225cf4
PN-60EB2E642FE75DB69FE5,flower_primary_color,true,wild,Codex cached-artifact trait-specific recovery audit,2026-08-13T15:10:00Z,"Accepted-name species-direct record; exact source excerpt, stable URL, same-trait ontology mapping, provenance and source lineage rechecked.",Myagrum perfoliatum,yellow_orange,https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?page=nswfl&lvl=sp&name=Myagrum~perfoliatum,citation-excerpt:91cf6f300496da1cf91989cf9c96cd28b9a86ab2eef4c246a2d338f08691769c,"Petals 3–5 mm long, yellow.",21f597594dd9b91d497b93c5f7a368f6a0c8f0bcafc78226b09a7326edd770da
SEQ5-0052,flower_primary_color,true,wild,Codex cached-artifact trait-specific recovery audit,2026-08-13T15:10:00Z,"Accepted-name species-direct record; exact source excerpt, stable URL, same-trait ontology mapping, provenance and source lineage rechecked.",Glyceria notata,green_brown_inconspicuous,https://pladias.cz/en/taxon/data/Glyceria%20notata,provider:pladias_flower_colour,Flower colour : green,22347c55e498b8bbe6949fed2fe6f01640939507067a37c143cf5f762d13b3e8
wfo-global-d8fa48e753b76085fd8bb88d,flower_primary_color,true,wild,Codex cached-artifact trait-specific recovery audit,2026-08-13T15:10:00Z,"Accepted-name species-direct record; exact source excerpt, stable URL, same-trait ontology mapping, provenance and source lineage rechecked.",Miltonia cuneata,green_brown_inconspicuous|white|yellow_orange,https://list.worldfloraonline.org/wfo-0000244397,provider_treatment:brazilian_flora_2020:Miltonia cuneata,Flower: lip in relation to column lip open flat or reflexed; colour of the column and clinandrium white yellowish to beige greenish; colour of the petal and sepal white with spot brown/green or green yellowish with spot brown; colour of the lip white; colour of the callous of the lip white with spot or pontuated brown.,25c63b7b686451e60be29eb169350fa1abcfa79d08f05208045d117966245d9a
WFO8-02847,flower_primary_color,true,wild,Codex cached-artifact trait-specific recovery audit,2026-08-13T15:10:00Z,"Accepted-name species-direct record; exact source excerpt, stable URL, same-trait ontology mapping, provenance and source lineage rechecked.",Rhododendron delavayi,red_pink,https://list.worldfloraonline.org/wfo-0001229506,provider_treatment:flora_of_china_efloras:wfo-0001229506,"corolla campanulate, fleshy, deep crimson to carmine, 3–5 × 3–4 cm, with 5 basal nectar pouches",2687b3aea24d4cb6f5a3654a60168b40129320a86541b0299462c3cbc46f0a2d
WFO8-02560,flower_primary_color,true,wild,Codex cached-artifact trait-specific recovery audit,2026-08-13T15:10:00Z,"Accepted-name species-direct record; exact source excerpt, stable URL, same-trait ontology mapping, provenance and source lineage rechecked.",Lysimachia christinae,yellow_orange,https://list.worldfloraonline.org/wfo-0000442843,provider_treatment:flora_of_china_efloras:wfo-0000442843,Corolla yellow,297207454f3fc25346d0244cd58d2a93a2f5714937d22809e196c01c7cd71e78
WFO8-02932,flower_primary_color,true,wild,Codex cached-artifact trait-specific recovery audit,2026-08-13T15:10:00Z,"Accepted-name species-direct record; exact source excerpt, stable URL, same-trait ontology mapping, provenance and source lineage rechecked.",Rumex brownii,yellow_orange,https://list.worldfloraonline.org/wfo-0001101066,provider_treatment:e_flora_south_africa:wfo-0001101066,Flowers pale orange,2b2cfbc4a5369deccbf7f12b2580b21adb2cbbeb69d326af24efc78daebb5655
WFO8-02068,flower_primary_color,true,wild,Codex cached-artifact trait-specific recovery audit,2026-08-13T15:10:00Z,"Accepted-name species-direct record; exact source excerpt, stable URL, same-trait ontology mapping, provenance and source lineage rechecked.",Chenopodium karoi,green_brown_inconspicuous,https://list.worldfloraonline.org/wfo-0000601435,provider_treatment:flora_of_pakistan_mbg:wfo-0000601435,"Perianth lobes 5, green, farinose, connate to the middle, keeled on back",2b3440f3ff02acf018e7833777839fb121eac0209e4f96b43b682036687f3f4c
WFO8-02329,flower_primary_color,true,wild,Codex cached-artifact trait-specific recovery audit,2026-08-13T15:10:00Z,"Accepted-name species-direct record; exact source excerpt, stable URL, same-trait ontology mapping, provenance and source lineage rechecked.",Galium tomentosum,green_brown_inconspicuous|yellow_orange,https://list.worldfloraonline.org/wfo-0000970411,provider_treatment:e_flora_south_africa:wfo-0000970411,"corolla 4-merous, greenish, greenish yellow to pale yellow",2bc1c0253012e2c2610c02ce8ed37312386210f3ec8820fa054d56e9c50147b5
WFO8-03019,flower_primary_color,true,wild,Codex cached-artifact trait-specific recovery audit,2026-08-13T15:10:00Z,"Accepted-name species-direct record; exact source excerpt, stable URL, same-trait ontology mapping, provenance and source lineage rechecked.",Solena amplexicaulis,white|yellow_orange,https://list.worldfloraonline.org/wfo-0001225323,provider_treatment:flora_of_pakistan_mbg:wfo-0001225323,"Flowers yellow or white, c",2bd623c515f6d5bfb88f4f86f701cf950c64aa6ea57fefea663d7c39e42fded4
WFO8-03051,flower_primary_color,true,wild,Codex cached-artifact trait-specific recovery audit,2026-08-13T15:10:00Z,"Accepted-name species-direct record; exact source excerpt, stable URL, same-trait ontology mapping, provenance and source lineage rechecked.",Spiraea hypericifolia,white,https://list.worldfloraonline.org/wfo-0000985818,provider_treatment:flora_of_china_efloras:wfo-0000985818,"Petals white, suborbicular or obovate, 3–3",2c1a567ba5d47f6dee2f2a09eae69ce1605630680a16a4d3be5989d62d3dcbd8
WFO8-02714,flower_primary_color,true,wild,Codex cached-artifact trait-specific recovery audit,2026-08-13T15:10:00Z,"Accepted-name species-direct record; exact source excerpt, stable URL, same-trait ontology mapping, provenance and source lineage rechecked.",Pelargonium tongaense,red_pink,https://list.worldfloraonline.org/wfo-0001064405,provider_treatment:e_flora_south_africa:wfo-0001064405,"Petals 5, ovate-cuneate with rounded apices, uniformly bright scarlet red",2c8bfa7b09f7a04494327304f5771f964c0a75f8cff0388f473b6a170f848a4a
WFO8-02259,flower_primary_color,true,wild,Codex cached-artifact trait-specific recovery audit,2026-08-13T15:10:00Z,"Accepted-name species-direct record; exact source excerpt, stable URL, same-trait ontology mapping, provenance and source lineage rechecked.",Epilobium capense,blue_purple|red_pink|white,https://list.worldfloraonline.org/wfo-0000668889,provider_treatment:e_flora_south_africa:wfo-0000668889,"[""Petals 4, rose-purple to white"",""Flowers solitary in upper axils, pink to""]",2cce270fc10b2a0d0ee1e6dd97a95b90fa015134d4ce56611b43c4bb7b0a6ca5
WFO8-02351,flower_primary_color,true,wild,Codex cached-artifact trait-specific recovery audit,2026-08-13T15:10:00Z,"Accepted-name species-direct record; exact source excerpt, stable URL, same-trait ontology mapping, provenance and source lineage rechecked.",Gossypioides kirkii,yellow_orange,https://list.worldfloraonline.org/wfo-0000707810,provider_treatment:e_flora_south_africa:wfo-0000707810,"Petals hardly exceeding the bracteoles in length, deep golden yellow",3347cbac90c08bd6117ab22a8ea4d1be9cfc18db4975864ec85797a1a6b2be37
WFO8-01930,flower_primary_color,true,wild,Codex cached-artifact trait-specific recovery audit,2026-08-13T15:10:00Z,"Accepted-name species-direct record; exact source excerpt, stable URL, same-trait ontology mapping, provenance and source lineage rechecked.",Aloe petricola,green_brown_inconspicuous|red_pink|white|yellow_orange,https://list.worldfloraonline.org/wfo-0000758659,provider_treatment:e_flora_south_africa:wfo-0000758659,"[""Perianth cylindric, slightly ventricose, with the mouth up-turned, 28-30 mm long, greenish-white to pale orange"",""Flowers dull red to coral-red in bud, orange to ivory at anthesis""]",395d700cc77f72659abe90259989e19eb6ca9ea5a10378b03279fad39fccdb82
WFO8-03143,flower_primary_color,true,wild,Codex cached-artifact trait-specific recovery audit,2026-08-13T15:10:00Z,"Accepted-name species-direct record; exact source excerpt, stable URL, same-trait ontology mapping, provenance and source lineage rechecked.",Urtica urens,green_brown_inconspicuous,https://list.worldfloraonline.org/wfo-0000416948,provider_treatment:e_flora_south_africa:wfo-0000416948,Flowers green,3ae2cd5e71df0770262be553c732cfe2d9179822d3e63beee454cc0fd17348d2
WFO8-03217,flower_primary_color,true,wild,Codex cached-artifact trait-specific recovery audit,2026-08-13T15:10:00Z,"Accepted-name species-direct record; exact source excerpt, stable URL, same-trait ontology mapping, provenance and source lineage rechecked.",Ziziphora tenuior,blue_purple|red_pink,https://list.worldfloraonline.org/wfo-0000335542,provider_treatment:flora_of_pakistan_mbg:wfo-0000335542,"Corolla lavender, pink or lilac, 8-10 mm",3b74299bcf7f04e4d5a59baf87c661456a57c1b7f287a912fc86c4cdb5309d66
WFO8-03134,flower_primary_color,true,wild,Codex cached-artifact trait-specific recovery audit,2026-08-13T15:10:00Z,"Accepted-name species-direct record; exact source excerpt, stable URL, same-trait ontology mapping, provenance and source lineage rechecked.",Trigonella hamosa,yellow_orange,https://list.worldfloraonline.org/wfo-0001055229,provider_treatment:flora_of_pakistan_mbg:wfo-0001055229,"Corolla yellow, 3-5 mm long",3e6fd5a5393de0964335d6aef1a77f95b0d3938bdcfd7b7483c65cb1f1db0869
WFO8-01951,flower_primary_color,true,wild,Codex cached-artifact trait-specific recovery audit,2026-08-13T15:10:00Z,"Accepted-name species-direct record; exact source excerpt, stable URL, same-trait ontology mapping, provenance and source lineage rechecked.",Anthospermum bicorne,yellow_orange,https://list.worldfloraonline.org/wfo-0000219745,provider_treatment:e_flora_south_africa:wfo-0000219745,"corolla 5-merous, yellowish or purplish outside, papillate or shortly hairy mostly near tip ('bisexual'): tube 0",43598d2dda054799dd6f12ef82ed23c1f32ffc283276bad35d2ee074965374d7
WFO8-02158,flower_primary_color,true,wild,Codex cached-artifact trait-specific recovery audit,2026-08-13T15:10:00Z,"Accepted-name species-direct record; exact source excerpt, stable URL, same-trait ontology mapping, provenance and source lineage rechecked.",Crataegus lavallei,white,https://list.worldfloraonline.org/wfo-0001016841,provider_treatment:e_flora_south_africa:wfo-0001016841,petals white,4650517ca4d46100f43cd84cb862a57b689e787aa34504464e8b45bec214f1f9
WFO8-03036,flower_primary_color,true,wild,Codex cached-artifact trait-specific recovery audit,2026-08-13T15:10:00Z,"Accepted-name species-direct record; exact source excerpt, stable URL, same-trait ontology mapping, provenance and source lineage rechecked.",Sorbus thibetica,white,https://list.worldfloraonline.org/wfo-0001016326,provider_treatment:flora_of_china_efloras:wfo-0001016326,"Petals white, spatulate, ovate, or obovate, 5–8 × 3",48fd74c4dd62ec14074354c372cf92367683f73f8e6b3bdcf3e2080aba9c654d
SEQ4-0060,flower_primary_color,true,wild,Codex cached-artifact trait-specific recovery audit,2026-08-13T15:10:00Z,"Accepted-name species-direct record; exact source excerpt, stable URL, same-trait ontology mapping, provenance and source lineage rechecked.",Potamogeton berchtoldii,green_brown_inconspicuous,https://pladias.cz/en/taxon/data/Potamogeton%20berchtoldii,provider:pladias_flower_colour,Flower colour : green,4e62de130b75c08b4a92676e3204d3ce60d99a45fbe29b2d13b6184dbe244cb2
WFO8-02262,flower_primary_color,true,wild,Codex cached-artifact trait-specific recovery audit,2026-08-13T15:10:00Z,"Accepted-name species-direct record; exact source excerpt, stable URL, same-trait ontology mapping, provenance and source lineage rechecked.",Eremurus himalaicus,white|yellow_orange,https://list.worldfloraonline.org/wfo-0000766606,provider_treatment:flora_of_pakistan_mbg:wfo-0000766606,"Tepals 17-20 mm long, 1-nerved, white, yellowish in dry condition",4ef04dba5b1569b5fd04312fe71f3e989e76dbf85ef33afaa852fe2d37326936
WFO8-02506,flower_primary_color,true,wild,Codex cached-artifact trait-specific recovery audit,2026-08-13T15:10:00Z,"Accepted-name species-direct record; exact source excerpt, stable URL, same-trait ontology mapping, provenance and source lineage rechecked.",Kniphofia ensifolia,green_brown_inconspicuous|red_pink|white|yellow_orange,https://list.worldfloraonline.org/wfo-0000675212,provider_treatment:e_flora_south_africa:wfo-0000675212,"[""Flowers greenish white, sometimes tinged red or dull to flame-red and spreading in bud, white to greenish white with green stripe down each perianth lobe and spreading to pendulous when mature, 15-21 mm long"",""flowers spreading to pendulous, greenish white to cream-coloured, or sometimes yellow (in subsp""]",503b6b49537c7f5b663897bff432987419af38138576849c344b0fc8208c68e6
WFO8-02188,flower_primary_color,true,wild,Codex cached-artifact trait-specific recovery audit,2026-08-13T15:10:00Z,"Accepted-name species-direct record; exact source excerpt, stable URL, same-trait ontology mapping, provenance and source lineage rechecked.",Cyrtanthus ochroleucus,green_brown_inconspicuous|red_pink|white|yellow_orange,https://list.worldfloraonline.org/wfo-0000764944,provider_treatment:e_flora_south_africa:wfo-0000764944,"Flowers 2-6, suberect, tubular, cream-coloured to dull yellow, tinted pink or green on tube, acrid-scented, inner stamens shortly exserted from throat",51acfa72d068a70f2285cbefb9eeb712f84acb81aaf77524788308ea07add658
WFO8-02785,flower_primary_color,true,wild,Codex cached-artifact trait-specific recovery audit,2026-08-13T15:10:00Z,"Accepted-name species-direct record; exact source excerpt, stable URL, same-trait ontology mapping, provenance and source lineage rechecked.",Potamogeton trichoides,green_brown_inconspicuous,https://list.worldfloraonline.org/wfo-0000770029,provider_treatment:e_flora_south_africa:wfo-0000770029,"Flowers green, inconspicuous",53dba8e8dd7c122e0ff81716938ee9b11d4ad73644533d2f047a7f997862a578
WFO8-02565,flower_primary_color,true,wild,Codex cached-artifact trait-specific recovery audit,2026-08-13T15:10:00Z,"Accepted-name species-direct record; exact source excerpt, stable URL, same-trait ontology mapping, provenance and source lineage rechecked.",Madhuca longifolia,white,https://list.worldfloraonline.org/wfo-0000232785,provider_treatment:flora_of_pakistan_mbg:wfo-0000232785,"Corolla white, lobes ovate-acuminate",540d77e10a0f72c33c2b7a34e252cc46d5abee147cc1fe4561243f5d493e9165
WFO8-02867,flower_primary_color,true,wild,Codex cached-artifact trait-specific recovery audit,2026-08-13T15:10:00Z,"Accepted-name species-direct record; exact source excerpt, stable URL, same-trait ontology mapping, provenance and source lineage rechecked.",Rosa hugonis,yellow_orange,https://list.worldfloraonline.org/wfo-0001014983,provider_treatment:flora_of_china_efloras:wfo-0001014983,"Petals 5, light yellow, broadly obovate, base broadly cuneate, apex emarginate",56682fb9a72939c3151bc211a09498073d9faefc189ce86d0f6ce10f11fceaef
WFO8-01929,flower_primary_color,true,wild,Codex cached-artifact trait-specific recovery audit,2026-08-13T15:10:00Z,"Accepted-name species-direct record; exact source excerpt, stable URL, same-trait ontology mapping, provenance and source lineage rechecked.",Aloe microstigma,green_brown_inconspicuous|red_pink|yellow_orange,https://list.worldfloraonline.org/wfo-0000758484,provider_treatment:e_flora_south_africa:wfo-0000758484,"[""Flowers dull red to yellow in bud, orange later, greenish yellow or yellow at flowering, subventricose with slight constric-tion at mouth, 18-30 mm long"",""Flowers dull red in bud, yellowing with age, sometimes uniformly yellow or red, 25-30 mm long""]",57872ad69762420f67af95bebd5990a3a4f6b88b6235bad14523a3dfa602e750
WFO8-02450,flower_primary_color,true,wild,Codex cached-artifact trait-specific recovery audit,2026-08-13T15:10:00Z,"Accepted-name species-direct record; exact source excerpt, stable URL, same-trait ontology mapping, provenance and source lineage rechecked.",Indigofera lyallii,blue_purple|red_pink,https://list.worldfloraonline.org/wfo-0000193385,provider_treatment:e_flora_south_africa:wfo-0000193385,"Corolla 7-9 mm long, reddish-purple or deep crimson, rounded at apex in bud, drying",5aae6b88b3f25a0a5cb61241d0034b3b45e4ce3a717e8688261e1ff7dd712110
SEQ5-0048,flower_primary_color,true,wild,Codex cached-artifact trait-specific recovery audit,2026-08-13T15:10:00Z,"Accepted-name species-direct record; exact source excerpt, stable URL, same-trait ontology mapping, provenance and source lineage rechecked.",Ribes spicatum,yellow_orange|green_brown_inconspicuous,https://pladias.cz/en/taxon/data/Ribes%20spicatum,provider:pladias_flower_colour,Flower colour : yellow-green,5d85b5f8bd707dc8326add4457e36310d4dce0e3739c7517396aacec61d3bf67
WFO8-03083,flower_primary_color,true,wild,Codex cached-artifact trait-specific recovery audit,2026-08-13T15:10:00Z,"Accepted-name species-direct record; exact source excerpt, stable URL, same-trait ontology mapping, provenance and source lineage rechecked.",Taraxacum ekmanii,yellow_orange,https://list.worldfloraonline.org/wfo-0000029503,provider_treatment:e_flora_south_africa:wfo-0000029503,"Flowers: ligules yellow, dark on lower surface",5e626f5323d157998b26732b9ed546d04484d8c179ed53f856ab0cec1f0e4e18
WFO8-02274,flower_primary_color,true,wild,Codex cached-artifact trait-specific recovery audit,2026-08-13T15:10:00Z,"Accepted-name species-direct record; exact source excerpt, stable URL, same-trait ontology mapping, provenance and source lineage rechecked.",Erica strigosa,red_pink,https://list.worldfloraonline.org/wfo-0000673332,provider_treatment:e_flora_south_africa:wfo-0000673332,"Flowers small, cup-shaped, reddish",619800f9b9ec98ebdde7fdf64899a8d7905440813fbe9db5f6b35a59a550de7b
WFO8-02747,flower_primary_color,true,wild,Codex cached-artifact trait-specific recovery audit,2026-08-13T15:10:00Z,"Accepted-name species-direct record; exact source excerpt, stable URL, same-trait ontology mapping, provenance and source lineage rechecked.",Phytolacca latbenia,green_brown_inconspicuous,https://list.worldfloraonline.org/wfo-0001263663,provider_treatment:flora_of_pakistan_mbg:wfo-0001263663,"Flowers greenish, 5 mm in diameter, pedicellate, bracteate",625d9f1c93748b4b7563911096fabf73d85c64711764273029b581a9539dc0b5
